Найденные мертвые тела М.,Найденные мертвые тела Ж.,Убито градом М.,Убито градом Ж.,Задавлено и упало с высоты М.,Задавлено и упало с высоты Ж.,Сгорело и убито на пожарах М.,Сгорело и убито на пожарах Ж.,Умерло от угара М.,Умерло от угара Ж.,Замерзло М.,Замерзло Ж.,Утонуло М.,Утонуло Ж.,Укушено до смерти зверями М.,Укушено до смерти зверями Ж.,Умерло от других случайностей М.,Умерло от других случайностей Ж.,Итого (случайная смерть) М.,Итого (случайная смерть) Ж.,Всего умерло от насильственной смерти и случайностей М.,Всего умерло от насильственной смерти и случайностей Ж.
—,—,2,—,—,—,1,—,—,—,6,—,11,—,—,—,31,—,51,—,114,—
4,2,1,—,4,—,—,—,—,—,—,—,6,1,—,—,3,1,14,2,79,9
1,2,—,—,1,—,—,—,—,—,1,—,3,—,—,—,—,—,5,—,21,2
3,1,—,—,—,—,5,—,—,—,2,—,9,—,—,—,5,1,21,1,42,2
4,2,—,—,1,—,—,—,—,—,1,—,1,—,—,—,6,—,9,—,27,2
14,1,1,—,4,—,2,—,1,—,2,—,16,1,—,—,70,2,96,3,139,8
—,—,—,—,4,—,—,—,1,—,4,—,9,—,—,—,43,2,61,2,87,2
—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,6,—,8,—,9,—
—,—,—,—,8,—,3,—,1,—,2,—,23,—,—,—,34,—,71,—,103,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,1,—,13,—
26,8,4,—,22,—,11,—,3,—,18,—,81,2,—,—,198,6,337,8,612,38
