НАЗВАНИЕ УЧЕБНЫХ ЗАВЕДЕНИЙ,Число учебных заведений,Число учащихся муж.,Число учащихся жен.
Мужская классическая гимназия,1,286,—
"шестиклассная прогимназия",—,—,—
Женская гимназия,1,—,319
"прогимназия",—,—,—
Учительская семинария,1,40,—
При ней начальная школа,1,56,—
Техническое железнодорожное училище,1,59,—
Училище для детей рабочих при постройке железнодорожного моста,1,17,15
Уездные училища,—,—,—
Городские 3-классные училища,1,151,—
"2-классные",—,—,—
"приходские училища",—,—,—
Начальные 2-классные училища,—,—,—
"одноклассные",9,379,
