В округах,Зимою,Весною,Летом,Осенью
,р. к.,р. к.,р. к.,р. к.
Красноярском:,,,,
Муки ржаной,„-73 1/2,„-75,„-73 1/2,„-72 3/4
пшеничной,1-18 1/2,1-14 1/2,1-13 1/2,1-19 1/4
Овса,-61,„-51 3/4,„-63,„ -51
Енисейском:,,,,
Муки ржаной,„-74,„-83,„ -85,„-85
пшеничной,1-20,1-20,1-20,1-20
Овса,„-75,„-87,„-90,„-80
Канском:,,,,
Муки ржаной,1-32,1-30,1-20,1-25
пшеничной,1-80,1-65,1-60,1-62
Овса,1-75,1-75,1-65,1-29
Ачинском:,,,,
Муки ржаной,„-50,„-55,„-50,„ -50
пшеничной,„-75,„-85,„-85,„-85
Овса,„-38,„-40,„-45,„-40
Минусинском:,,,,
Муки ржаной,„-47,„-60,„-50,„-50
пшеничной,„-55,„-70,„-70,„ -65
Овса,„-36,„-36,„-38,„-38
Усинском пограничном:,,,,
Муки ржаной,,,,
пшеничной,,Продажи не производилось,,
Овса,,,,
