Исповедания,Месяцы,Общее число браков,В том числе холостых с девицами,В том числе холостых со вдовами,В том числе вдовцов с девицами,В том числе вдовцов со вдовами,Моложе 21 м. п.,Моложе 21 ж. п.
,Январь,1629,1446,25,107,51,646,1139
,Февраль,1218,1080,26,72,40,467,831
,Март,17,11,2,3,1,4,7
,Апрель,227,185,9,20,13,61,135
,Май,262,197,10,40,15,77,150
,Июнь,289,235,9,31,14,93,181
,Июль,270,206,16,30,18,66,169
,Август,71,50,4,8,9,13,31
,Сентябрь,125,102,7,11,5,23,67
,Октябрь,427,352,18,35,22,129,289
,Ноябрь,750,667,10,50,23,283,543
,Декабрь,8,7,-,1,-,2,4
,Итого,5293,4538,136,408,211,1864,3546
