21-25 М. П.,21-25 Ж. П.,26-30 М. П.,26-30 Ж. П.,31-35 М. П.,31-35 Ж. П.,36-40 М. П.,36-40 Ж. П.,41-45 М. П.,41-45 Ж. П.,46-50 М. П.,46-50 Ж. П.,51 и выше М. П.,51 и выше Ж. П.
553,366,277,71,64,16,39,17,21,9,14,8,11,2
424,265,191,71,61,21,39,15,17,8,8,3,14,7
3,6,5,3,2,-,2,1,-,-,1,-,-,-
66,60,52,15,18,10,15,5,4,2,6,1,3,-
82,71,52,17,18,10,10,4,11,4,7,3,7,2
100,72,60,17,14,6,8,5,7,3,3,4,5,-
90,57,53,23,22,7,24,6,6,4,2,-,7,3
22,24,17,6,5,3,2,1,6,3,4,3,2,-
41,31,34,16,8,2,9,3,5,2,2,2,3,2
147,87,92,28,25,11,15,6,12,2,5,3,2,1
259,157,129,33,34,7,23,6,14,2,3,1,5,1
4,4,1,-,1,-,-,-,-,-,-,-,-,-
1791,1200,963,300,272,93,186,69,103,39,55,28,59,18
