Наименование промысловых документов,Красноярскому,Енисейскому,Канскому,Ачинскому,Минусинскому,По Туруханскому краю,Всего по губернии
"3-го разряда",,,,,,,
"На торговые заведения:",,,,,,,
"3-го класса: годовых в 15 руб.",407,-,-,-,-,-,407
"полугодовых в 7 руб. 50 коп.",34,-,-,-,-,-,34
"4-го класса: годовых в 10 руб.",241,325,391,338,469,69,1833
"полугодовых в 5 руб.",16,32,39,25,42,16,170
"На складочные к ним помещения:",,,,,,,
"3-го класса: годовых в 3 руб.",7,-,-,-,-,-,7
"полугодовых в 1 руб. 50 коп.",1,-,-,-,-,-,1
"4-го класса: годовых в 2 руб.",-,5,3,4,6,-,18
"полугодовых в 1 руб.",-,-,2,-,-,-,2
"Бесплатных билетов",149,133,45,34,113,13,487
"4-го разряда:",,,,,,,
"На торговые заведения:",,,,,,,
"3-го класса: годовых в 6 руб.",181,-,-,-,-,-,181
"полугодовых в 3 руб.",87,-,-,-,-,-,87
"4-го класса: годовых в 4 руб.",35,117,61,171,271,52,707
"полугодовых в 2 руб.",7,41,36,37,98,4,223
"Бесплатных билетов",1,2,-,1,4,-,8
"Свидетельств для промышленных предприятий:",,,,,,,
"Повсеместно:",,,,,,,
"2-го разряда: годовых в 1 000 руб.",-,-,-,-,-,-,-
"полугодовых в 500 руб.",-,-,-,-,-,-,-
"3-го разряда: годовых в 500 руб.",-,-,-,-,1,-,1
"полугодовых в 250 руб.",-,-,-,-,-,-,-
"4-го разряда: годовых в 150 руб.",2,3,-,-,2,-,7
"полугодовых в 75 руб.",-,-,-,-,-,-,-
