"Наименование промысловых документов","Красноярскому","Енисейскому","Канскому","Ачинскому","Минусинскому","По Туруханскому краю","Всего по губернии"
"На личные промысловые занятия:",,,,,,,
"IV разряда 3-го и 4-го классов годовых в 10 руб.",16,6,3,6,6,-,37
"полугодовых в 5 руб.",1,-,-,-,-,-,1
"V разряда для приказчиков 1-го класса:",,,,,,,
"При торговых предприятиях IV разряда годовых в 2 руб.",5,1,4,-,-,-,10
"полугодовых в 1 руб.",-,-,1,-,2,-,3
"I разряда торговых и I, II и III разрядов промышленных предприятий повсеместно: годовых в 35 руб.",10,1,7,2,3,-,23
"полугодовых в 17 руб. 50 коп.",1,-,-,-,-,-,1
"II разряда торговых и IV разряда промысловых предприятий 2, 3 и 4-го классов: годовых в 20 руб.",50,51,64,24,85,-,274
"полугодовых в 10 руб.",4,5,8,8,9,1,35
"III разряда торговых V и VI разряда промышленных предприятий 2, 3 и 4-го классов: годовых в 6 р.",217,99,150,110,168,-,744
"полугодовых в 3 руб.",33,5,22,18,14,1,93
"VII и VIII разряда промышленных предприятий 2, 3 и 4-го классов: годовых в 4 руб.",-,-,-,-,4,-,4
"полугодовых в 2 руб.",-,-,2,-,-,-,2
"Для приказчиков при предприятиях развозного торга: годовых в 4 руб.",-,2,-,-,-,1,3
"полугодовых в 2 руб.",-,-,-,-,-,-,-
"VI разряда: комивояжеры",-,-,-,1,-,-,1
"VII разряда: для приказчиков 2-го класса 1-го разряда торговых и I, II и III разрядов промышленных предприятий повсеместно: годовых в 6 руб.",66,3,16,16,-,-,101
"полугодовых в 3 руб.",1,-,1,-,-,-,2
