Наименование аптеки,Число фармацевтов,Число аптекарских учеников,Число рецептов,Вырученная по ним сумма (руб.),Вырученная по ним сумма (коп.),По ручной продаже выручено (руб.),По ручной продаже выручено (коп.)
В г. Красноярске:,,,,,,,
1. Г. Смирновой,4,1,11958,6309,30,5558,15
2. Общества врачей Енисейской губернии,5,2,25176,14474,53,22872,80
3. Ачинске,1,1,3798,2065,61,4630,49
4. Енисейске,1,4,8892,4282,75,1973,43
5. Минусинске,1,1,4049,2004,26,4723,33
6. Канске,1,-,3997,2484,19,1118,78
7. Рыбинском,1,-,466,246,3,1540,28
8. Иланском,1,-,212,124,49,703,80
9. Абаканском,1,-,325,155,12,1000,74
10. Каратузском,1,-,406,194,24,702,85
ВСЕГО,17,9,59279,32340,52,44824,65
