Показатель,Красноярский уезд,Ачинский уезд,Канский уезд,Енисейский уезд,Минусинский уезд,Усинский пограничный округ
1) Удавление,8,-,7,2,5,-
2) Повешение,2,-,-,-,-,-
3) Ранения:,-,-,-,-,-,-
а) холодным оружием,17,18,34,10,26,1
б) огнестрельным,11,3,6,6,6,-
в) прочие,6,4,7,-,36,-
"4) Ушибы, смятия и падения",9,4,3,1,2,-
5) Утопление,1,6,2,-,4,-
6) Задушение:,-,-,-,-,-,-
а) от воспрепятственного дыхания,1,2,4,-,6,-
б) от недостатка воздуха,-,1,1,-,4,-
7) Подавление пищей,-,-,-,-,-,-
8) Замерзание,2,1,1,-,2,-
9) Лишение пищи,-,-,-,-,-,-
10) Ожоги и сгорание,1,-,-,-,2,-
11) Поражение молнией,-,-,-,-,4,-
12) Отравление:,-,-,-,-,-,-
а) мышьяком,-,-,-,-,-,-
б) другими неорганическими ядами,1,-,-,-,1,-
в) спиртом,2,-,1,2,1,-
г) окисью углерода,3,-,-,-,-,-
д) другими органическими ядами,1,1,-,-,-,-
13) Прочие насильственные смерти,53,16,9,8,14,-
Всего насильственной смертью,118,47,75,29,106,1
В том числе:,-,-,-,-,-,-
самоубийство,8,1,7,2,17,-
убийство,42,30,58,18,70,-
детоубийство,4,1,1,-,4,-
14) Смерть от болезненных причин,53,12,8,9,14,-
15) За гнилостью трупа причина не открыта,11,3,1,-,1,-
Всего произведено вскрытий и осмотров мертвых тел,118,47,75,29,106,1
16) Беременность,3,2,-,-,3,-
17) Послеродовое состояние,4,1,2,-,3,-
18) Растление и изнасилование,10,4,18,3,9,-
19) Мужеложство,1,-,1,-,-,-
20) Скотоложство,-,-,-,-,-,-
21) Раны,197,48,155,43,198,5
22) Другие повреждения,187,87,66,60,158,-
23) Состояние умственных способностей,11,4,8,-,10,-
24) Состояние здоровья вообще,315,72,99,103,216,4
Всего освидетельствовано живых людей,728,218,349,209,597,9
