"Капиталы","К 1 января 1902 г. состояло",,"В приходе за 1902 г.",,"В расходе за 1902 г.",,"К 1 января 1903 г. состоит",
,"руб.","коп.","руб.","коп.","руб.","коп.","руб.","коп."
"б) Пожертвованный инородцами на уничтожение сифилиса в Ачинском и Минусинском уездах","3 740",78,—,—,—,—,"3 740",78
"в) Кружечный сбор в пользу богоугодных заведений","1 369",8¼,—,—,—,—,"1 369",08¼
"Капитал 3-го разряда:",,,,,,,,
"Апелляционный",592,54½,—,—,—,—,592,54½
"Капитал 4-го разряда:",,,,,,,,
"а) Молотилина",649,94,22,80,—,—,672,74
"б) Пожертвованный на сооружение церкви при Красноярских богоугодных заведениях","12 651",24,"8 020",22,"18 017",—,"2 654",46
"в) Залоги, представленные разными лицами, в обеспечение подрядов по поставке разных предметов для больниц","1 000",—,—,—,"1 000",—,—,—
"ИТОГО","219 837",24½,"84 182",82,"111 351",45,"192 668",61½
