Название участка и волости,На какое число душ м. п. участок образован,До 1902 г. - Семей,До 1902 г. - Душ Мужского,До 1902 г. - Душ Женского,Прибывших - Всего,Прибывших - С разрешения,Прибывших - Самовольно,Прибывших по губерниям - Витебской,Прибывших по губерниям - Могилевской,Прибывших по губерниям - Пензенской,Прибывших по губерниям - Черниговской,Прибывших по губерниям - Полтавской,Прибывших по губерниям - Виленской,Прибывших по губерниям - Минской,Прибывших по губерниям - Орловской,Прибывших по губерниям - Харьковской,Прибывших по губерниям - Тамбовской,Прибывших по губерниям - Рязанской,Прибывших по губерниям - Псковской,Прибывших по губерниям - Киевской
"По 1-му участку волости:",,,,,,,,,,,,,,,,,,,,
Большеулуйская,6040,494,1493,1430,140,138,2,5,37,1,57,-,22,2,12,4,-,-,-,-
Покровская,3053,714,2275,2165,72,72,-,1,41,-,26,1,-,-,-,-,3,-,-,-
В селениях крестьян-старожилов,-,28,90,89,32,32,-,5,19,-,3,5,-,-,-,-,-,-,-,-
Итого,9093,1236,3858,3684,244,242,2,11,97,1,86,6,22,2,12,4,3,-,-,-
"По 2-му участку волости:",,,,,,,,,,,,,,,,,,,,
Березовская,2042,542,1753,1716,5,4,1,-,2,-,-,-,-,1,-,-,1,1,-,-
Назаровская,3388,674,2457,2239,34,33,1,6,-,-,2,7,15,-,-,1,2,-,1,-
Подсосенская,803,125,471,456,35,34,1,-,12,-,1,1,2,1,-,1,-,-,-,2
В селениях крестьян-старожилов,-,319,1112,1023,13,10,3,-,-,-,-,2,-,-,-,-,-,-,-,-
Итого,6233,1660,5793,5434,87,81,6,6,14,-,3,10,17,2,-,2,3,1,1,2
"По 3-му участку волости:",,,,,,,,,,,,,,,,,,,,
Ужурская,2741,737,2701,2393,36,36,-,-,-,-,1,17,-,5,3,-,-,-,-,-
В селениях крестьян-старожилов,-,57,197,177,2,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Шарыповская,1165,469,1658,1312,9,9,-,-,-,-,5,-,-,1,-,-,-,-,-,-
В селениях крестьян-старожилов,-,144,538,500,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
В селениях крестьян-старожилов Солгонской волости,-,54,223,176,4,4,-,-,-,-,2,-,-,-,2,-,-,-,-,-
Итого,3906,1461,5317,4558,76,76,-,-,-,-,8,18,-,6,5,-,-,-,-,-
"По 4-му участку волости:",,,,,,,,,,,,,,,,,,,,
Балахтинская,957,147,519,449,4,4,-,-,-,-,-,-,3,-,-,-,-,-,-,-
В селениях крестьян-старожилов,-,2,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Тюльковская,1339,256,854,805,36,36,-,1,-,-,27,-,-,-,3,3,2,-,-,-
В селениях крестьян-старожилов,-,29,119,114,5,5,-,-,-,-,3,2,-,-,-,-,-,-,-,-
Даурская,948,116,425,382,31,31,-,3,6,-,-,-,7,4,-,-,-,-,-,-
В селениях крестьян-старожилов,-,4,23,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Итого,3244,554,1942,1786,76,76,-,4,6,-,30,2,10,4,3,3,2,-,-,-
Всего по уезду,22476,4911,16919,15462,483,475,8,21,117,1,127,36,49,14,20,9,8,1,1,2
