Смоленской,Курской,Тверской области,Пензенской,Уфимской,Енисейской,Гродненской,Душ мужского,Душ женского,Всего до 1903 г. семей,Всего до 1903 г. душ мужского,Всего до 1903 г. душ женского,Ссуды на домоустройство семей,Ссуды на домоустройство р.,Ссуды на домоустройство к.,Ссуды на продовольствие семей,Ссуды на продовольствие р.,Ссуды на продовольствие к.,Ссуды на посев семей,Ссуды на посев р.,Ссуды на посев к.,Зачислено за ходоками,Свободных долей
—,—,—,—,—,—,—,493,430,634,1986,1860,258,6113,—,—,45,—,143,2601,—,1073,3011
—,—,—,—,—,—,—,207,195,786,2482,2360,195,5732,—,28,319,—,140,3258,—,520,88
—,—,—,—,—,—,—,107,95,60,197,184,21,420,—,8,118,—,8,72,—,—,—
—,—,—,—,—,—,—,807,720,1480,4665,4404,474,12265,—,36,482,—,291,5931,—,1593,3099
—,—,—,—,—,—,—,15,19,547,1768,1735,51,878,—,308,6807,—,391,12741,50,89,181
—,—,—,—,—,—,—,104,94,708,2561,2333,152,3311,—,468,12411,90,554,17614,50,340,494
15,—,—,—,—,—,—,145,127,160,616,583,98,1580,—,20,448,30,57,2985,—,130,62
—,8,3,—,—,—,—,46,47,332,1158,1070,73,1375,—,141,4220,75,108,3350,50,—,—
15,8,3,—,—,—,—,310,287,1747,6103,5721,374,7144,—,937,23887,95,1110,36691,50,559,737
—,10,—,—,—,—,—,144,119,773,2845,2512,118,2828,88,364,8267,25,386,10050,—,—,—
—,1,—,—,—,—,—,6,5,59,203,182,3,120,—,41,1031,45,44,942,—,—,—
—,2,—,1,—,—,—,41,37,478,1699,1349,14,556,—,413,7124,75,380,7624,—,—,—
—,23,—,—,2,—,—,120,89,169,658,589,23,1010,—,95,2574,—,87,1800,—,—,—
—,—,—,—,—,—,—,21,14,58,244,190,3,130,—,53,1496,50,52,933,—,—,—
—,36,—,1,2,—,—,332,264,1537,5649,4822,161,4644,88,966,20493,95,949,21349,—,—,—
—,—,—,—,—,1,—,17,14,151,536,463,7,190,—,—,—,—,—,—,—,123,148
—,—,—,—,—,—,—,—,—,2,2,5,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,113,132,292,967,937,62,2345,—,—,—,—,—,—,—,179,193
—,—,—,—,—,—,—,24,20,34,143,134,18,420,—,—,—,—,—,—,—,—,—
—,—,—,—,—,9,2,151,142,147,576,524,40,1434,—,—,—,—,—,—,—,346,26
—,—,—,—,—,—,—,—,—,4,23,31,3,105,—,—,—,—,—,—,—,—,—
—,—,—,—,—,10,2,305,308,630,2247,2094,130,4494,—,—,—,—,—,—,—,648,367
15,44,3,1,2,10,2,1754,1579,5394,18664,17041,1139,28547,88,1939,44863,90,2350,63971,50,2800,4203
