Название участка и волости,На какое число душ м. п. участок образован,До 1902 г. Семей,До 1902 г. Душ Мужского,До 1902 г. Душ Женского,Прибывших Всего,Прибывших С разрешения,Прибывших Самовольно,Семей вышедших в Виленской,Семей вышедших в Витебской,Семей вышедших в Гродненской,Семей вышедших в Минской,Семей вышедших в Могилевской,Семей вышедших в Черниговской,Семей вышедших в Лифляндской,Семей вышедших в Волынской,Семей вышедших в Псковской
По 1-му участку волости:,,,,,,,,,,,,,,,,
Заледеевская,505,29,96,88,10,10,-,2,5,1,-,-,-,1,-,-
Погорельская,1959,175,545,503,30,28,2,14,2,1,7,5,1,-,-,-
Итого,2464,204,641,591,40,38,2,16,7,2,7,5,1,1,-,-
По 2-му участку волости:,,,,,,,,,,,,,,,,
Вознесенская,3063,375,1231,1065,124,124,-,12,29,12,2,43,-,1,-,19
В селениях крестьян-старожил,-,-,-,-,14,14,-,-,-,-,-,-,1,-,-,-
Итого,3063,375,1231,1065,138,138,-,12,29,12,2,43,1,1,-,19
По 3-му участку волости:,,,,,,,,,,,,,,,,
Сухобузимская,280,46,161,121,3,3,-,-,-,-,-,1,2,-,-,-
По 4-му участку волости:,,,,,,,,,,,,,,,,
Еловская,1124,274,868,716,17,15,2,4,2,7,2,-,-,-,1,-
Нахвальская,292,56,193,180,1,1,-,-,-,-,-,1,-,-,-,-
В селениях крестьян-старожил,-,19,71,64,2,2,-,-,-,1,1,-,-,-,-,-
Итого,1416,349,1132,960,20,18,2,4,2,8,3,1,-,-,1,-
Всего по уезду,7223,974,3165,2737,201,197,4,32,38,22,12,50,4,2,1,19
