Курской,Тамбовской,Тобольской,Орловской,Енисейской,Прибывших в отчетном году: Мужского,Прибывших в отчетном году: Женского,Всего до 1903 г.: Семей,Всего до 1903 г. душ: Мужского,Всего до 1903 г. душ: Женского,Ссуды на домоустройство: Семей,Ссуды на домоустройство: Сумма руб.,Ссуды на домоустройство: Сумма коп.,Ссуды на продовольствие: Семей,Ссуды на продовольствие: Сумма руб.,Ссуды на продовольствие: Сумма коп.,Ссуды на посев: Семей,Ссуды на посев: Сумма руб.,Ссуды на посев: Сумма коп.,Зачислено за ходоками,Свободных долей
—,—,—,—,1,32,35,39,128,123,11,820,—,20,375,20,20,285,20,367,10
—,—,—,—,—,123,89,205,668,592,45,3030,—,126,2343,12,111,1740,60,909,382
—,—,—,—,1,155,124,244,796,715,56,3850,—,146,2718,32,131,2025,80,1276,392
6,—,—,—,—,397,346,499,1628,1411,212,7642,80,114,1883,43,115,1910,70,1015,425
—,8,1,2,2,83,68,14,83,68,9,265,—,—,—,—,—,—,—,—,—
6,8,1,2,2,480,414,513,1711,1479,221,7907,80,114,1883,43,115,1910,70,1015,425
—,—,—,—,—,7,6,49,168,132,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,1,45,45,291,913,716,98,3230,—,150,3087,44,195,2752,80,236,17
—,—,—,—,—,4,4,57,197,184,26,675,—,88,1570,28,15,102,—,95,—
—,—,—,—,—,3,3,21,74,67,12,370,—,12,373,6,—,—,—,—,—
—,—,—,—,1,52,52,369,1184,1012,136,4275,—,250,5030,78,210,2854,80,331,17
6,8,1,2,4,694,596,1175,3859,3338,413,16032,80,510,9632,53,456,6791,30,2622,834
