Гульской,Рязанской,Черниговской,Могилевской,Харьковской,Херсонской,Вятской,Пермской,Волынской,Екатеринославской,Курской,Области войска Донского,Енисейской,Душ мужского,Душ женского,Всего до 1903 г. семей,Всего до 1903 г. душ мужского,Всего до 1903 г. душ женского,На домоустройство семей,На домоустройство сумма р.,На домоустройство сумма к.,На продовольствие семей,На продовольствие сумма р.,На продовольствие сумма к.,На посев семей,На посев сумма р.,На посев сумма к.,Зачислено за ходоками,Свободных долей
7,-,3,-,-,-,-,-,-,-,-,-,-,189,186,708,2512,2343,339,10053,75,-,-,-,-,-,-,71,76
5,-,1,-,-,-,-,-,4,-,-,-,-,153,150,761,2530,2468,298,6304,80,-,-,-,-,-,-,73,6
6,-,6,3,1,-,-,-,-,-,-,5,-,347,316,973,3562,3394,637,12058,70,-,-,-,-,-,-,488,52
2,1,7,39,-,-,-,4,-,5,8,1,-,597,558,855,2786,2751,396,14088,60,-,-,-,-,-,-,1184,184
20,1,17,42,1,-,-,4,4,5,13,1,-,1286,1210,3297,11390,10956,1670,42505,85,-,-,-,-,-,-,1816,318
3,-,3,11,1,-,-,-,-,-,-,-,-,151,116,408,1237,1165,72,3914,-,-,-,-,-,-,-,441,140
-,-,-,3,-,-,-,-,-,-,-,-,-,93,65,30,149,112,18,885,-,-,-,-,-,-,-,-,-
-,-,2,-,-,-,-,-,-,1,-,-,-,158,137,514,1535,1467,93,4525,60,-,-,-,-,-,-,172,107
-,-,-,1,-,-,-,-,3,-,-,-,-,26,24,60,197,182,48,1500,-,-,-,-,-,-,-,-,-
-,-,3,10,-,1,2,-,-,-,-,-,-,194,240,532,1718,1671,93,4873,-,-,-,-,-,-,-,826,328
-,-,8,22,-,-,-,-,-,-,-,-,-,233,291,686,2111,1978,133,5479,-,-,-,-,-,-,-,777,427
3,-,16,47,1,1,2,-,3,1,-,-,-,855,873,2230,6947,6575,457,21176,60,-,-,-,-,-,-,2216,1002
1,-,-,7,3,-,1,-,-,-,-,-,1,100,88,301,1131,1035,185,6244,-,-,-,-,-,-,-,354,112
-,-,14,51,3,-,-,-,2,-,-,-,16,426,363,460,1576,1347,200,8228,-,-,-,-,-,-,-,1571,336
1,-,14,58,6,-,1,-,2,-,-,-,17,526,451,761,2707,2382,385,14472,-,-,-,-,-,-,-,1925,448
6,4,-,67,-,-,-,-,1,-,-,-,-,743,596,1218,4610,2863,738,20817,-,-,-,-,-,-,-,5378,510
-,-,8,-,-,-,-,-,-,-,-,-,-,51,45,107,392,357,82,3543,-,-,-,-,-,-,-,159,294
-,-,38,-,-,-,-,-,-,-,-,-,-,275,245,229,770,671,176,7805,12,-,-,-,-,-,-,-,366,1103
-,-,4,26,-,-,-,-,-,-,-,-,-,307,237,86,342,249,71,3625,-,-,-,-,-,-,-,438,7
-,-,4,72,-,-,-,-,-,-,-,-,-,633,527,422,1504,1277,329,14973,12,-,-,-,-,-,-,-,963,1404
30,5,51,286,8,1,3,4,10,5,13,1,17,4043,3657,7928,27158,24053,3579,113944,57,-,-,-,-,-,-,12298,3682
