"Название участка и волости","На какое число душ м. п. участок образован","До 1902 г. Семей","До 1902 г. Душ Мужского","До 1902 г. Душ Женского","Прибывших Всего","Прибывших С разрешения","Прибывших Самовольно","Семей вышедших в Витебской","Семей вышедших в Черниговской","Семей вышедших в Гродненской","Семей вышедших в Минской","Семей вышедших в Екатеринославской","Семей вышедших в Херсонской","Семей вышедших в Волынской","Семей вышедших в Самарской","Семей вышедших в Саратовской","Семей вышедших в Пермской","Семей вышедших в Курской","Семей вышедших в Тамбовской","Семей вышедших в Орловской"
"По 1-му участку волости: Новоселовская",1096,145,545,432,3,3,-,2,1,-,-,-,-,-,-,-,-,-,-,-
"По 2-му участку волости: Абаканская",5091,797,2790,2405,25,25,-,14,2,6,2,1,-,-,-,-,-,-,-,-
"Идринская",2812,843,2484,2279,19,19,-,-,-,7,-,-,-,2,4,5,1,-,-,-
"Итого по 2-му участку",7903,1640,5274,4684,44,44,-,14,2,13,2,1,-,2,4,5,1,-,-,-
"По 3-му участку волости: Тесинская",1424,364,1225,1081,2,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-
"В селениях крестьян-старожилов",-,-,-,-,12,5,7,-,-,-,-,-,-,-,-,-,-,3,8,1
"Курагинская",1598,462,1296,1228,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"В селениях крестьян-старожилов",-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-
"Итого по 3-му участку",3022,826,2521,2309,18,11,7,-,1,-,-,-,1,-,-,-,-,5,8,1
"По 4-му участку волости: Ермаковская",1262,352,1096,1029,15,13,2,-,3,-,-,-,-,-,-,-,-,4,2,-
"Сагайская",1218,355,952,869,11,10,1,-,-,-,-,-,-,-,-,-,-,-,2,-
"В обществах крестьян-старожилов",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Итого по 4-му участку",2480,707,2048,1898,26,23,3,-,3,-,-,-,-,-,-,-,-,4,4,-
"По 5-му участку Шушенской волости: В селениях крестьян-старожилов",-,-,-,-,5,5,-,-,1,-,-,-,-,-,1,-,-,-,-,1
"Итого по уезду",14501,3318,10388,9323,96,86,10,16,8,13,2,1,1,2,5,5,1,9,12,2
"Итого по губернии",-,15965,53578,47918,1946,1861,85,-,-,-,-,-,-,-,-,-,-,-,-,-
