Виленской,Могилевской,Киевской,Полтавской,Смоленской,Воронежской,Вятской,Енисейской,Душ Мужского,Душ Женского,Всего до 1903 г. Семей,Всего до 1903 г. Душ Мужского,Всего до 1903 г. Душ Женского,Воспользовались ссудами На домоустройство Семей,Воспользовались ссудами На домоустройство Сумма р.,Воспользовались ссудами На домоустройство Сумма к.,Воспользовались ссудами На продовольствие Семей,Воспользовались ссудами На продовольствие Сумма р.,Воспользовались ссудами На продовольствие Сумма к.,Воспользовались ссудами На посев Семей,Воспользовались ссудами На посев Сумма р.,Воспользовались ссудами На посев Сумма к.,Зачислено за ходоками,Свободных долей
-,-,-,-,-,-,-,-,11,10,148,556,442,-,4582,60,-,814,30,-,3589,-,186,354
-,-,-,-,-,-,-,-,92,73,822,2882,2478,402,14805,40,329,11660,62,142,3192,-,1838,620
-,-,-,-,-,-,-,-,56,54,862,2540,2333,142,3843,10,364,10119,65,591,17772,-,212,205
-,-,-,-,-,-,-,-,148,127,1684,5422,4811,544,18648,50,693,21780,27,733,20964,-,2050,825
-,-,-,-,-,-,-,-,6,5,366,1231,1086,5,300,-,134,8071,-,84,2234,-,39,74
-,-,-,-,-,-,-,-,30,34,12,-,-,12,730,-,-,-,-,-,-,-,-,-
1,1,-,-,-,-,-,-,7,6,464,1303,1234,22,782,80,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,3,5,2,-,-,2,80,-,-,-,-,-,-,-,-,-
1,1,-,-,-,-,-,-,46,50,844,2534,2320,41,1892,80,134,8071,-,84,2234,-,39,74
-,-,-,2,2,1,-,1,54,50,367,1150,1079,13,435,40,-,-,-,-,-,-,104,89
-,4,3,1,-,-,1,-,38,32,366,990,901,70,2498,-,-,-,-,-,-,-,88,142
-,-,-,-,-,-,-,-,-,-,-,1713,1624,-,2380,50,-,-,-,-,-,-,-,-
-,4,3,3,2,1,1,1,92,82,733,3853,3604,83,5313,90,-,-,-,-,-,-,192,231
-,-,2,-,-,-,-,-,16,16,5,16,16,56,1075,-,-,-,-,-,-,-,-,-
1,5,5,3,2,1,1,1,313,285,3414,12381,11193,724,31512,80,827,30665,57,817,26787,-,2467,1484
-,-,-,-,-,-,-,-,6804,6117,17911,62062,55625,5855,190038,5,3276,85162,-,3623,97549,80,20187,10203
