"Наименование фабрик и заводов","Город Красноярск - Число фабрик и заводов","Город Красноярск - Сумма производства","Город Красноярск - Число рабочих","Уезд Красноярский - Число фабрик и заводов","Уезд Красноярский - Сумма производства","Уезд Красноярский - Число рабочих","Город Енисейск - Число фабрик и заводов","Город Енисейск - Сумма производства","Город Енисейск - Число рабочих","Уезд Енисейский - Число фабрик и заводов","Уезд Енисейский - Сумма производства","Уезд Енисейский - Число рабочих"
"I. Обделывающие животные продукты:",-,-,-,-,-,-,-,-,-,-,-,-
"Салотопенные, свечные и мыловаренные",3,"125 000",33,-,-,-,-,-,-,-,-,-
"Кожевенные и овчинные",8,"170 000",18,11,"1 020",17,3,450,4,7,"6 600",34
"Воскобойные и белильные",1,"2 115",1,-,-,-,-,-,-,-,-,-
"II. Обделывающие растительные продукты:",-,-,-,-,-,-,-,-,-,-,-,-
"Крупчаточные",-,-,-,-,-,-,-,-,-,-,-,-
"Маслобойные",-,-,-,-,-,-,-,-,-,-,-,-
"Канатные и веревочные",-,-,-,-,-,-,3,944,7,-,-,-
"Винокуренные",-,-,-1,"389 248",60,1,"46 530",171,-,-,-
"Водочные склады",3,"300 000",30,-,-,-,-,-,-,-,-,-
"Пивомедоваренные и квасоваренные",4,"99 000",22,-,-,-,1,"2 651",6,-,-,-
"Лесопильные",2,"45 000",28,-,-,-,-,-,-,-,-,-
"III. Обделывающие ископаемые продукты:",-,-,-,-,-,-,-,-,-,-,-,-
"Чугунолитейные, железо-делательные и слесарные",1,"200 000",41,-,-,-,-,-,-,-,-,-
"Стеклоделательные",-,-,-1,"60 000",110,-,-,-,-,-,-
"Колокольные",1,"22 000",2,-,-,-,-,-,-,-,-,-
"Кирпичные",13,"267 780",250,8,"5 750",21,5,"27 872",60,-,-,-
"Гончарные",13,"4 900",287,-,-,-,-,-,-,28,"8 900",22
"Солеваренные",-,-,-,-,-,-,-,-,-,1,"9 856",20
"Смольные и скипидарные",-,-,-4,"5 630",5,-,-,-,-,-,-
"IV. Смешанных продуктов:",-,-,-,-,-,-,-,-,-,-,-,-
"Экипажные и кузнечные",38,"280 000",284,-,-,-,-,-,-,-,-,-
