В УЕЗДАХ,Зимою,Весною,Летом,Осенью
,р. к.,р. к.,р. к.,р. к.
Красноярском:,,,,
Муки ржаной,” - 93,” - 91,” - 91,” - 73
пшеничной,1 - 50,1 - 2,1 - 48 1/2,1 - 11
Овса,” - 90,” - 98,” - 93 1/2,” - 63 1/2
Енисейском:,,,,
Муки ржаной,” - 73,” - 77,” - 82,” - 67
пшеничной,1 - 30,1 - 30,1 - 40,1 - 40
Овса,” - 80,” - 80,” - 80,” - 60
Канском:,,,,
Муки ржаной,” - 60,” - 60,” - 90,” - 69
пшеничной,1 - 20,” - 90,1 - 30,1 - 20
Овса,” - 60,” - 65,” - 70,” - 75
Ачинском:,,,,
Муки ржаной,” - 66,” - 75,” - 77,” - 55
пшеничной,1 - 8,1 - 16,1 - 8,” - 93
Овса,” - 84,” - 96,” - 91,” - 71
Минусинском:,,,,
Муки ржаной,” - 85,” - 85,” - 80,” - 65
пшеничной,1 - 20,1 - 20,1 - 20,” - 90
Овса,” - 90,” - 90,” - 70,” - 50
Усинском округе:,,,,
Муки ржаной,1 - ”,” - 85,” - 90,1 - ”
пшеничной,1 - 45,1 - 35,1 - 40,1 - 45
Овса,” - 95,” - 90,” - 95,” - 95
