Наименование фабрик и заводов,Город Канск - Число фабрик и заводов,Город Канск - Сумма производства,Город Канск - Число рабочих,Уезд Каннский - Число фабрик и заводов,Уезд Каннский - Сумма производства,Уезд Каннский - Число рабочих,Город Ачинск - Число фабрик и заводов,Город Ачинск - Сумма производства,Город Ачинск - Число рабочих,Уезд Ачинский - Число фабрик и заводов,Уезд Ачинский - Сумма производства,Уезд Ачинский - Число рабочих,Город Минусинск - Число фабрик и заводов,Город Минусинск - Сумма производства,Город Минусинск - Число рабочих,Уезд Минусинский - Число фабрик и заводов,Уезд Минусинский - Сумма производства,Уезд Минусинский - Число рабочих,Всего в губернии - Число фабрик и заводов,Всего в губернии - Сумма производства,Всего в губернии - Число рабочих
Салотопенные свечные и мыловаренные,3,7000,11,-,-,-,1,1250,2,2,2405,2,4,35000,12,18,4617,23,31,175272,83
Кожевенные и овчинные,5,9500,20,15,4758,17,4,26300,20,30,17575,49,6,22000,31,58,41691,135,147,299894,345
Воскобойные и белильные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2115,1
Крупчаточные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,36650,54,1,36650,54
Маслобойные,2,3000,2,5,501,11,1,400,2,24,3205,37,3,1200,6,94,5994,169,129,14300,227
Канатные и веревочные,-,-,-,-,-,-,6,1900,12,6,4500,14,-,-,-,6,599,10,21,7943,43
Винокуренные,-,-,-,1,60000,20,-,-,-,2,526179,74,-,-,-,3,1151343,99,8,2173300,424
Водочные склады,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,300000,30
Пивомедоваренные и квасоваренные,-,-,-,-,-,-,-,-,-,-,-,-,1,22000,7,-,-,-,6,123651,35
Лесопильные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,45000,28
Чугунолитейные железоделательные и слесарные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,194407,257,2,394407,298
Стеклоделательные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,60000,110
Колокольные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22000,2
Кирпичные,10,1950,27,2,110,2,19,6800,31,17,3226,34,17,18000,65,5,1200,9,96,332508,499
Гончарные,2,200,2,4,240,4,-,-,-,4,190,4,6,300,7,28,3200,28,85,18430,354
Солеваренные,-,-,-,1,35000,40,-,-,-,-,-,-,-,-,-,3,39566,68,5,84422,128
Смольные и скипидарные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5630,5
Экипажные и кузнечные,-,-,-,-,-,-,-,-,-,-,-,-,34,9000,67,56,5233,78,128,294233,429
