ГОРОДА И УЕЗДЫ,Законнорожденных (муж.),Законнорожденных (жен.),Законнорожденных (обоего пола)
В г. Красноярске,793,713,1506
В г. Енисейске,159,138,297
В г. Канске,152,141,293
В г. Ачинске,130,131,261
В г. Минусинске,208,184,392
В г. Туруханске,38,20,58
Итого в городах,1480,1327,2807
В Красноярском уезде,1730,1635,3365
В Енисейском уезде,1315,1260,2575
В Канском уезде,3598,3400,6998
В Ачинском уезде,3320,3139,6459
В Минусинском уезде,5063,4902,9965
В Туруханском крае,226,214,440
В Усинском пограничном округе,Св,ед,е
Итого в уездах,15252,14550,29802
Всего в губернии,16732,15877,32609
