ГОРОДА И УЕЗДЫ,Законнорожденных муж.,Законнорожденных жен.,Законнорожденных обоего пола,Рожденных вне брака муж.,Рожденных вне брака жен.,Рожденных вне брака обоего пола,ВСЕГО родившихся муж.,ВСЕГО родившихся жен.,ВСЕГО родившихся обоего пола,ЧИСЛО УМЕРШИХ муж.,ЧИСЛО УМЕРШИХ жен.,ЧИСЛО УМЕРШИХ обоего пола,Прибыль + или убыль -,Число браков
В г. Красноярске,793,713,1506,102,121,223,895,834,1729,760,541,1301,+428,311
В г. Енисейске,159,138,297,28,38,66,187,176,363,233,147,380,-17,49
В г. Канске,152,141,293,25,24,49,177,165,342,304,136,440,-98,54
В г. Ачинске,130,131,261,10,16,26,140,147,287,164,94,258,+29,22
В г. Минусинске,208,184,392,19,17,36,227,201,428,173,128,301,+127,65
В г. Туруханске,38,20,58,3,3,6,41,23,64,15,18,33,+31,6
Итого в городах,1480,1327,2807,187,219,406,2667,1546,3213,1649,1064,2713,+500,527
В Красноярском уезде,1730,1635,3365,104,104,208,3834,1739,3573,1500,1306,2806,+767,585
В Енисейском уезде,1315,1260,2575,134,125,259,1449,1385,2834,1051,893,1944,+890,489
В Канском уезде,3598,3400,6998,228,196,424,3826,3596,7422,2427,2221,4648,+2774,1255
В Ачинском уезде,3320,3139,6459,199,221,420,3519,3360,6879,2406,2065,4471,+2408,1068
В Минусинском уезде,5063,4902,9965,748,766,1514,5811,5668,11479,3389,2916,6305,+5174,1287
В Туруханском крае,226,214,440,20,16,36,246,230,476,92,66,158,+318,82
В Усинском пограничном округе,Св,ед,е,ний,не,д,о,став,ле,но,,,,
Итого в уездах,15252,14550,29802,1433,1428,2861,16685,15978,32663,10865,9467,20332,+12331,4766
Всего в губернии,16732,15877,32609,1620,1647,3267,18352,17524,35876,12514,10531,23045,+12831,5293
