Наименование окладных сборов разрядов плательщиков и уездов,На 1 января 1902 г. числилось: Недоимок - Отсроченных и рассроченных,На 1 января 1902 г. числилось: Недоимок - Срочных,Причислено: Недоимок - Отсроченных и рассроченных,Причислено: Недоимок - Срочных,Исключено: Недоимок - Отсроченных и рассроченных,Исключено: Недоимок - Срочных,За причислениями и исключениями причиталось к поступлению: ВСЕГО,За причислениями и исключениями причиталось к поступлению: В том числе - Отсроченных и рассроченных,За причислениями и исключениями причиталось к поступлению: В том числе - Срочных,ОКЛАДА
I. С сельских сословий:,,,,,,,,,,
§ 1 ст. 7 Подушная подать,,,,,,,,,,
С крестьян-старожилов,4 283-78,13 257-54 1/4,-,1 356-45 1/4,1 356-45 1/4,-,17 541-32 1/2,2 927-32 3/4,14 614-0,170-10
— из ссыльных,-,3-73,-,0-81,-,-,4-54,-,4-54,0-81
— из казаков,27-13 1/2,18-63,-,1-22,1-22,-,45-76 1/2,25-91 1/2,19-85,-
С оседлых инородцев,-,17-97,-,-,-,-,17-97,-,17-97,-
С купцов и мещан проживающих в селениях,-,67-14,-,-,-,-,67-14,-,67-14,-
С кочевых инородцев,-,21-28,-,-,-,-,21-28,-,21-28,0-25
ИТОГО по губернии,4 310-91 1/2,13 386-29 1/4,-,1 358-48 1/4,1 357-67 1/4,-,17 698-2,2 953-23 3/4,14 744-78 1/4,171-16
Межевой сбор,,,,,,,,,,
С крестьян-старожилов,-,59-93 1/2,-,-,-,-,59-93 1/2,-,59-93 1/2,-
С купцов и мещан проживающих в селениях,-,10-31 1/2,-,-,-,-,10-31 1/2,-,10-31 1/2,-
С кочевых инородцев,-,1-71,-,-,-,-,1-71,-,1-71,0-15
ИТОГО по губернии,-,71-96,-,-,-,-,71-96,-,71-96,0-15
§ 1 ст. 8. Оброчная подать,,,,,,,,,,
С мещан г. Канска,978-28,2 075-54,-,331-54,331-54,-,3 053-82,646-74,2 407-8,3 276-63
С крестьян-старожилов,1 882-69 1/2,34 028-76 1/2,-,1 882-69 1/2,1 882-69 1/2,-,35 911-46 1/2,-,35 911-46 1/2,582-10
— из ссыльных,-,12-33,-,2-74,-,-,15-7,-,15-7,2-74
С купцов и мещан проживающих в селениях,-,155-90 1/2,-,-,-,-,155-90 1/2,-,155-90 1/2,-
