Наименование сборов и уездов,На 1 янв 1902 Недоимок Отсроченных,На 1 янв 1902 Недоимок Срочных,Причислено Недоимок Отсроченных,Причислено Недоимок Срочных,Исключено Недоимок Отсроченных,Исключено Недоимок Срочных,Причиталось Недоимок ВСЕГО,Причиталось В том числе Отсроченных,Причиталось В том числе Срочных,Причиталось ОКЛАДА,Поступило в отчетном году Недоимок,Поступило в отчетном году Оклада,Зачтено Недоимок,Зачтено Оклада,Исключено Недоимок,Исключено Оклада,ВСЕГО поступило зачтено и исключено,Будущих лет Недоимок,Будущих лет Оклада,Осталось к 1 янв 1903 ВСЕГО,Осталось к 1 янв 1903 Отсроченных,Осталось к 1 янв 1903 Срочных и оклада,Поступило за другие губернии,Примечания
С переселенцев: полного оклада,-,38 462-32 3/4,-,-,-,-,38 462-32 3/4,-,38 462-32 3/4,-,235-19 1/2,-,-,-,-,-,235-19 1/2,-,-,17 476-23,2 927-32 3/4,14 548-90 1/4,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5-35,-,5-35,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45-76 3/4,25-91 3/4,19-85,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17-97,-,17-97,-,-
половинного оклада,-,9 609-74 1/4,-,-,-,-,9 609-74 1/4,-,9 609-74 1/4,-,11-37,-,-,-,-,-,11-37,-,-,55-77,-,55-77,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21-53,-,21-53,-,-
ИТОГО по губернии,2 860-97 1/2,84 344-61 1/2,-,2 216-97 1/2,2 214-23 1/2,48 072-7 1/2,39 126-25 1/4,646-74,38 489-51 1/4,3 861-47,246-56 1/2,-,-,-,-,-,246-56 1/2,-,-,17 622-61 1/2,2 953-23 3/4,14 669-37 3/4,-,-
"§ 1, ст. 8 Государственная оброчная подать",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
С лиц, состоящих в категории круговых плательщиков,-,107 971-16,-,1-56,-,91-94,107 880-78,-,107 880-78,345 450-40,2-36 1/4,-,-,-,-,-,2-36 1/4,-,-,57-57,-,57-57,-,-
С переселенцев: полного оклада,-,335-25,-,40 848-10 1/4,-,1 626-57,39 556-78 1/4,-,39 556-78 1/4,29 441-93,1-14,-,-,-,-,-,1-14,-,-,9-17 3/4,-,9-17 3/4,-,-
половинного оклада,-,4 147-49,-,10 860-45 1/4,-,1 383-96,13 623-98 1/4,-,13 623-98 1/4,23 241-35,-,-,-,-,-,-,-,-,-,1-86,-,1-86,-,-
ИТОГО по губернии,-,112 453-90,-,51 710-11 1/2,-,3 102-47,161 061-54 1/2,-,161 061-54 1/2,398 133-68,3-50 1/4,-,-,-,-,-,3-50 1/4,-,-,68-60 3/4,-,68-60 3/4,-,-
"§ 1, ст. 2 п. л. Государственная поземельная подать",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"С крестьян из казаков уездов Красноярского, Канского, Ачинского и Минусинского",-,765-58,-,-,-,-,765-58,-,765-58,1 212-70,-,-,-,-,-,-,-,-,-,765-58,-,765-58,-,-
"ИТОГО сборов по разделу 1-му",7 171-89,211 022-35,-,55 285-58,3 571-91 1/2,51 174-54 1/2,218 733-02 1/4,3 599-97 1/2,215 133-38 3/4,403 379-16,2 011-54,600- ",-,-,-,-,2 611-54,-,-,3 718-91,646-74,3 072-17,-,-
"II. С прочих сословий:",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"§ 1, ст. 3 п.А. Налога с недвижимых имуществ",-,1 513-69,-,-,-,-,1 513-69,-,1 513-69,"1 800- """,903-42,-,-,-,-,-,903-42,-,-,35 590-14 3/4,-,35 590-14 3/4,-,-
"Пени с налога",-,-,-,157-47,-,-,157-47,-,157-47,-,-,-,-,-,-,-,-,-,-,17-81,-,17-81,-,-
"ИТОГО сборов по разделу 2-му",-,1 513-69,-,157-47,-,-,1 671-16,-,1 671-16,"1 800- """,24-66,-,-,-,-,-,24-66,-,-,131-24 3/4,-,131-24 3/4,-,-
