Наименование окладных сборов; разрядов плательщиков и уездов,Поступило по казначействам своей губернии в отчетном году - Недоимок,Поступило по казначействам своей губернии в отчетном году - Оклада,Зачтено за поступлением в прежние годы - Недоимок,Зачтено за поступлением в прежние годы - Оклада,Исключено за поступлением по казначействам других губерний - Недоимок,Исключено за поступлением по казначействам других губерний - Оклада,ВСЕГО поступило зачтено и исключено,В счет платежей будущих лет - Недоимок отсроченных и рассроченных,В счет платежей будущих лет - Оклада,Осталось в недоимках к 1 января 1903 г. - ВСЕГО,Осталось в недоимках к 1 января 1903 г. - В том числе: Отсроченных и рассроченных,Осталось в недоимках к 1 января 1903 г. - В том числе: Срочных и оклада отч. года,Всего (оклада и недоимки) поступило по казначействам своей губернии за другие,Примечания
"С переселенцев: полного оклада",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"половинного оклада",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"ИТОГО по губернии",2 939-62,600-",-,-,-,-,3 539-62,-,-,39 458-10¾,646-74,38 811-36¾,-,-
"§ 1, ст. 8 Государственная оброчная подать",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"С лиц, состоящих в категории круговых плательщиков",76 543-8,225 430-70,-,1 049-1,-,-,303 022-79,-,312-45,150 308-39,-,150 308-39,-,-
"С переселенцев: полного оклада",5 654-71,14 467-36,-,37-86¾,-,-,20 159-93¾,-,125-37,48 838-78,-,48 838-78,-,-
"половинного оклада",2 678-14,7 782-44,-,39-43,-,-,10 500-1,-,14-9,26 365-32¾,-,26 365-32¾,-,-
"ИТОГО по губернии",84 875-93,247 680-50,-,1 126-30¾,-,-,333 682-73¾,-,451-91,225 512-49¾,-,225 512-49¾,-,-
"§ 1, ст. 2 п. л. Государственная поземельная подать",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"С крестьян из казаков уездов Красноярского, Канского, Ачинского и Минусинского",338-78,673-87,-,18-71,-,-,1 031-36,-,-,946-92,-,946-92,-,-
"ИТОГО сборов по разделу 1-му",88 404-40¾,248 954-37,-,1 145-1¾,-,-,338 503-78¾,-,451-91,283 608-74,3 599-97¾,280 008-76¾,-,-
"II. С прочих сословий:",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"§ 1, ст. 3 п. А.",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Налога с недвижимых имуществ",1 401-91,16 111-4,-,-,-,-,17 512-95,-,-,2 000-74,-,2 000-74,-,-
"Пени с налога",157-47,-,-,-,-,-,157-47,-,-,-,-,-,-,-
"ИТОГО сборов по разделу 2-му",1 559-38,16 111-4,-,-,-,-,17 670-42,-,-,2 000-74,-,2 000-74,-,-
