"Наименование окладных сборов, разрядов плательщиков и уездов","На 1 января 1902 г. числилось недоимок: Отсроченных и рассроченных","На 1 января 1902 г. числилось недоимок: Срочных","Причислено недоимок: Отсроченных и рассроченных","Причислено недоимок: Срочных","Исключено недоимок: Отсроченных и рассроченных","Исключено недоимок: Срочных","За причислениями и исключениями причиталось к поступлению: ВСЕГО","За причислениями и исключениями причиталось к поступлению: В том числе отсроченных и рассроченных","За причислениями и исключениями причиталось к поступлению: В том числе срочных","ОКЛАДА","В счет платежей отчетного года: Поступило по казначействам своей губернии в отчетном году - Недоимок","В счет платежей отчетного года: Поступило по казначействам своей губернии в отчетном году - Оклада","В счет платежей отчетного года: Зачтено за поступлением в прежние годы по своей и по другим губерниям - Недоимок","В счет платежей отчетного года: Зачтено за поступлением в прежние годы по своей и по другим губерниям - Оклада","В счет платежей отчетного года: Исключено за поступлением по казначействам других губерний в отчетном году - Недоимок","В счет платежей отчетного года: Исключено за поступлением по казначействам других губерний в отчетном году - Оклада","В счет платежей отчетного года: ВСЕГО поступило, зачтено и исключено","В счет платежей будущих лет поступило по казначействам своей губернии и исключено за поступлением по казначействам других губерний: Недоимок отсроченных и рассроченных","В счет платежей будущих лет поступило по казначействам своей губернии и исключено за поступлением по казначействам других губерний: Оклада","Осталось в недоимках к 1 января 1903 г.: ВСЕГО","Осталось в недоимках к 1 января 1903 г.: В том числе отсроченных и рассроченных","Осталось в недоимках к 1 января 1903 г.: В том числе срочных и оклада отчетного года","Всего (оклада и недоимки) поступило по казначействам своей губернии за другие","Примечания"
"Государственный квартирный налог с городов § 1, ст. 10 (Налог и пеня) § 35 ст. 1 (в штраф по квартирному налогу) - Налога","—","769-28","—","—9","—","24-66","744-71","—","744-71","9296-""","176-""","7 893-75","12-75","4-""","66-95","143-25","8 296-70","—","—","1 744-1","—","1 744-1","30-42","—"
"Государственный квартирный налог с городов § 1, ст. 10 (Налог и пеня) § 35 ст. 1 (в штраф по квартирному налогу) - Пени","—","71-43","—","13-73","—","1-95","83-21","—","83-21","149-99","23-69","45-76","—33","—","6-89","—80","77-47","—","—","155-73","—","155-73","—","—"
"Государственный квартирный налог с городов § 1, ст. 10 (Налог и пеня) § 35 ст. 1 (в штраф по квартирному налогу) - Штрафа","—","42-""","—","941-50","—","—","983-50","—","983-50","—","747-50","—","—","—","—","—","747-50","—","—","236-""","—","236-""","—","—"
"Государственный квартирный налог с городов § 1, ст. 10 (Налог и пеня) § 35 ст. 1 (в штраф по квартирному налогу) - ИТОГО","—","882-71","—","955-32","—","26-61","1 811-42","—","1 811-42","9 445-99","947-19","7 939-51","13-8","4-""","73-84","144-5","9 121-67","—","—","2 135-74","—","2 135-74","30-42","—"
"I. С сельских сословий: Губернской повинности - С крестьян-старожилов","—","2 720-38¾","—","—","—","—","2 720-38¾","—","2 720-38¾","—","—","—","—","—","—","—","—","—","—","2 720-38¾","—","2 720-38¾","—","—"
"I. С сельских сословий: Губернской повинности - из ссыльных","—","17 996-11","—","63-95","—","374-45¾","17 685-60¼","—","17 685-60¼","—","769-34","—","—","—","—","—","769-34","—","—","16 916-26¼","—","16 916-26¼","—","—"
"I. С сельских сословий: Губернской повинности - С купцов и мещан, живущих в селениях","—","410-18¼","—","—","—","—","410-18¼","—","410-18¼","—","19-64","—","—","—","—","—","19-64","—","—","390-54¼","—","390-54¼","—","—"
"I. С сельских сословий: Губернской повинности - С кочевых инородцев","—","66-8½","—","—","—","—","66-8½","—","66-8½","—","—","—","—","—","—","—","—","—","—","66-8½","—","66-8½","—","—"
"I. С сельских сословий: Губернской повинности - С поселенцев","—","15 453-1¾","—","684-73¾","—","1 087-52","15 050-23½","—","15 050-23½","—","766-91","—","—","—","—","—","766-91","—","—","14 283-32½","—","14 283-32½","—","—"
"I. С сельских сословий: Губернской повинности - С оседлых инородцев","—","70-72¼","—","—","—","—","70-72¼","—","70-72¼","—","—","—","—","—","—","—","—","—","—","70-72¼","—","70-72¼","—","—"
"I. С сельских сословий: Губернской повинности - ИТОГО","—","36 716-50¾","—","748-68¾","—","1 461-97¾","36 003-21¼","—","36 003-21¼","—","1 555-89","—","—","—","—","—","1 555-89","—","—","34 447-32¼","—","34 447-32¼","—","—"
"I. С сельских сословий: Туруханский край с крестьян из ссыльных","—","—","—","1-50","—","—","1-50","—","1-50","—","—","—","—","—","—","—","—","—","—","1-50","—","1-50","—","—"
"I. С сельских сословий: С земель, принадлежавших сельским обществам - С круговых плательщиков в сельских обществах","—","44 015-38¾","—","70-""","—","—","44 085-38¾","—","44 085-38¾","280 349-42","36 763-53¼","229 799-51¼","—","860-41¼","—","—","267 423-46¼","—","377-83","57 011-33¼","—","57 011-33¼","—","—"
