Поступило недоимок,Поступило оклада,Зачтено недоимок,Зачтено оклада,Исключено недоимок,Исключено оклада,Всего поступило зачтено и исключено,Будущих лет недоимок,Будущих лет оклада,Осталось недоимок ВСЕГО,Осталось недоимок отсроченных,Осталось недоимок срочных,Поступило за другие губернии,Примечания
786-80,1 721-44,-,-,-,-,2 508-24,-,22-18,1 810-98,-,1 810-98,-,-
5 100-57,16 804-12,-,710-55¾,-,-,22 615-24¾,-,45-1,12 836-50,-,12 836-50,-,-
2 325-90,9 918-23,-,80-70,-,-,12 324-83,-,26-29,14 808-9¾,-,14 808-9¾,-,-
44 976-80¾,256 243-30¾,-,1 651-67,-,-,304 871-78,-,471-31,86 466-91,-,86 466-91,-,-
148-5,-,-,-,-,-,148-5,-,-,3 341-76¾,-,3 341-76¾,-,-
581-63,1 579-66,-,"-70,-,-,2 161-99,-,-,2 915-63,-,2 915-63,-,-
928-39,240-50,-,-,-,-,1 168-89,-,-,2 327-73,-,2 327-73,-,-
-,4 052-",-,-,-,-,4 052-",-,-,312-97,-,312-97,-,-
-,500-",-,-,-,-,500-",-,-,2 124-58,-,2 124-58,-,-
749-1,8 027-99,-,-,-,-,8 777-",-,-,1 047-24,-,1 047-24,-,-
78-34,-,-,-,-,-,78-34,-,-,-,-,-,-,-
377-30,2 093-99,-,890-36,-,-,3 361-65,-,928-53,5 575-94,-,5 575-94,-,-
-,-,-,-,-,-,-,-,-,130-3,-,130-3,-,-
-,-,-,-,-,-,-,-,-,371-86¾,-,371-86¾,-,-
-,-,-,-,-,-,-,-,-,3-34¾,-,3-34¾,-,-
"-4,-,-,-,-,-,"-4,-,-,5-89,-,5-89,-,-
"-4,-,-,-,-,-,"-4,-,-,511-13,-,511-13,-,-
640-72,740-66,-,112-88,-,-,1 494-26,-,13-95,4 178-83¾,-,4 178-83¾,-,-
14 097-14¾,548 453-2¾,13-8,3 804-62¾,73-84,144-5,593 465-76¾,-,1 865-70,430 996-77¾,3 599-97¾,427 396-79¾,30-42,-
