"Наименование преступлений","Число преступлений","Число осужденных м.","Число осужденных ж.","Дворян потомственных м.","Дворян потомственных ж.","Дворян личных м.","Дворян личных ж.","Потомственных граждан и купцов м.","Потомственных граждан и купцов ж.","Духовного звания м.","Духовного звания ж.","Мещан м.","Мещан ж.","Крестьян м.","Крестьян ж."
"По Уложению о наказаниях:",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О преступлениях против веры и постановлений церкви 176–218 ст.",17,15,-,-,-,-,-,-,-,-,-,1,-,9,-
"О святотатстве 219–235",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О сопротивлении распоряжениям правительства и неповиновении установленным от оного властям 262–275",7,7,3,-,-,-,-,-,-,-,-,3,-,3,3
"Об оскорблении и явном неуважении к присутственным местам и чиновникам при отправлении должности 276–288",41,39,5,-,-,2,-,-,-,-,-,5,1,25,3
"О самовольном присвоении власти и составлении подложных указов или предписаний и др. исходящих от правительства бумаг 289–302",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О похищении бумаг или вещей из присутственных мест, сорвании печатей и уничтожении поставленных или приложенных по распоряжению правительства знаков 303–307",2,2,-,-,-,-,-,-,-,-,-,-,-,2,-
"О взломе тюрем, уводе и убеге находящихся под стражею или надзором 308–317",5,4,-,-,-,-,-,-,-,-,-,-,-,-,-
"О преступлениях по службе государственной и общественной 329–505",80,85,-,2,-,5,-,2,-,-,-,12,-,52,-
"Об уклонении от воинской повинности 506–547",50,42,-,2,-,5,-,-,-,-,-,3,-,24,-
"О нарушении уставов монетных 556–578",20,21,1,-,-,-,-,-,-,-,-,3,-,13,1
"О нарушении постановлений о гербовом сборе 579–591",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О нарушении уставов горных 591–622",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О нарушении постановлений о питейном сборе, табачном сборе, об акцизе на сахар, нефтяном масле и спичках 665 ст.",165,82,40,-,-,-,-,-,1,-,-,13,6,55,25
"О нарушении уставов врачебных 875–900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
