Наименование преступлений,В числе: Водворяемых рабочих (М.),В числе: Водворяемых рабочих (ж.),В числе: Военных (М.),В числе: Военных (ж.),В числе: Инородцев (М.),В числе: Инородцев (ж.),В числе: Иностранных подданных (М.),В числе: Иностранных подданных (ж.),В числе: Поселенцев (М.),В числе: Поселенцев (ж.),В числе: Ссыльно-каторжных (М.),В числе: Ссыльно-каторжных (ж.),Возраст преступников: Ниже 17 лет (М.),Возраст преступников: Ниже 17 лет (ж.),Возраст преступников: 17-20 (М.),Возраст преступников: 17-20 (ж.),Возраст преступников: 21-30 (М.),Возраст преступников: 21-30 (ж.),Возраст преступников: 31-40 (М.),Возраст преступников: 31-40 (ж.),Возраст преступников: 41-50 (М.),Возраст преступников: 41-50 (ж.),Возраст преступников: 51-60 (М.),Возраст преступников: 51-60 (ж.),Возраст преступников: Свыше 60 лет (М.),Возраст преступников: Свыше 60 лет (ж.)
"О преступлениях против веры и постановлений церкви 176–218 ст.",-,-,-,-,-,-,-,-,5,-,-,-,-,-,2,-,4,-,4,-,3,-,2,-,-,-
"О святотатстве 219–235",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О сопротивлении распоряжениям правительства и неповиновении установленным от оного властям 262–275",-,-,-,-,1,-,-,-,-,-,-,-,1,-,2,-,2,1,1,1,-,-,-,-,1,1
"Об оскорблении и явном неуважении к присутственным местам и чиновникам при отправлении должности 276–288",-,-,-,-,-,-,-,-,7,1,-,-,1,1,3,1,6,-,7,1,13,2,5,-,4,-
"О самовольном присвоении власти и составлении подложных указов или предписаний и др. исходящих от правительства бумаг 289–302",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О похищении бумаг или вещей из присутственных мест, сорвании печатей и уничтожении поставленных или приложенных по распоряжению правительства знаков 303–307",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-
"О взломе тюрем, уводе и убеге находящихся под стражею или надзором 308–317",-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,1,-,2,-,1,-,-,-,-,-
"О преступлениях по службе государственной и общественной 329–505",-,-,2,-,-,-,-,-,10,-,-,-,-,-,1,-,27,-,27,-,18,-,8,-,4,-
"Об уклонении от воинской повинности 506–547",-,-,8,-,-,-,-,-,-,-,-,-,-,-,1,-,21,-,17,-,3,-,-,-,-,-
"О нарушении уставов монетных 556–578",-,-,-,-,-,-,-,-,7,-,1,-,1,-,-,-,7,-,10,-,2,1,1,-,-,-
"О нарушении постановлений о гербовом сборе 579–591",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О нарушении уставов горных 591–622",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О нарушении постановлений о питейном сборе, табачном сборе, об акцизе на сахар, нефтяном масле и спичках 665 ст.",-,-,-,-,1,5,-,-,13,3,-,-,-,-,-,-,22,8,32,16,20,11,6,5,2,-
"О нарушении уставов врачебных 875–900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
