"Наименование преступлений","Число преступлений","Число осужденных - м.","Число осужденных - ж.","Дворян потомственных - м.","Дворян потомственных - ж.","Дворян личных - м.","Дворян личных - ж.","Потомственных граждан и купцов - м.","Потомственных граждан и купцов - ж.","Духовного звания - м.","Духовного звания - ж.","Мещан - м.","Мещан - ж.","Крестьян - м.","Крестьян - ж."
"О возбуждении к начатию или продолжению противозаконных исков и тяжб, о ложных доносах, лжесвидетельствах и ложных показаниях на повальных обысках 939–946",3,3,-,-,-,-,-,-,-,-,-,-,-,3,-
"О бродяжничестве 950–974",15,14,-,-,-,-,-,-,-,-,-,-,-,2,-
"О составлении подложных видов на жительство и проживании с видом подложным 975–977",14,11,-,-,-,-,-,-,-,-,-,1,-,3,-
"О преступлениях против общественной нравственности и нарушении ограждающих оную постановлений 993–1 003",12,10,6,-,-,-,-,-,-,-,-,2,1,8,5
"О нарушении устава почтово-телеграфного 1 098–1 148",1,1,-,-,-,-,-,-,-,-,-,-,-,1,-
"О нарушении уставов торговых 1 169–1 345",7,6,-,-,-,-,-,-,-,-,-,2,-,4,-
"О нарушении постановлений ремесленных 1 360–1 377",11,7,1,-,-,-,-,-,-,-,-,4,-,1,1
"О преступлениях и проступках против законов о состояниях 1 412–1 424",1,1,1,-,-,-,-,-,-,-,-,1,1,-,-
"О смертоубийстве 1 449–1 471",83,76,10,-,-,-,-,-,-,-,-,10,1,41,8
"О самоубийстве 1 472–1 476",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"О нанесении увечья, ран и других повреждений здоровью 1 477–1 496",197,138,4,-,-,-,-,2,1,-,-,23,1,89,2
"О преступлениях против чести и целомудрия женщин 1 523–1 532",3,3,-,-,-,-,-,-,-,-,-,-,-,3,-
"О непосредственных личных оскорблениях 1 533–1 534",3,3,-,-,-,-,-,-,-,-,-,-,-,3,-
"О клевете и распространении оскорбительных для чести сочинений, оскорбления или слухов 1 535–1 539",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О преступлениях против союза брачного 1 549–1 589",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О преступлениях детей против родителей и по другим совестным делам 1 591–1 592",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О зажигательстве 1 606–1 615",6,5,2,-,-,-,-,-,-,-,-,-,-,4,2
"Об истреблении чужого имущества 1 616–1 625",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О разбое 1 627–1 636",16,21,-,-,-,-,-,-,-,-,-,2,-,10,-
"О грабеже 1 637–1 643",12,17,1,-,-,-,-,-,-,-,-,-,-,9,1
