Наименование преступлений,Водворяемых рабочих (м.),Водворяемых рабочих (ж.),Военных (м.),Военных (ж.),Инородцев (м.),Инородцев (ж.),Иностранных подданных (м.),Иностранных подданных (ж.),Поселенцев (м.),Поселенцев (ж.),Ссыльно-каторжных (м.),Ссыльно-каторжных (ж.),Ниже 17 лет (м.),Ниже 17 лет (ж.),17-20 (м.),17-20 (ж.),21-30 (м.),21-30 (ж.),31-40 (м.),31-40 (ж.),41-50 (м.),41-50 (ж.),51-60 (м.),51-60 (ж.),Свыше 60 лет (м.),Свыше 60 лет (ж.)
"О возбуждении к начатию или продолжению противозаконных исков и тяжб, о ложных доносах, лжесвидетельствах и ложных показаниях на повальных обысках 939–946",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-
"О бродяжничестве 950–974",-,-,-,-,-,-,-,-,9,-,3,-,-,-,1,-,3,-,6,-,2,-,-,-,2,-
"О составлении подложных видов на жительство и проживании с видом подложным 975–977",-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,4,-,6,-,-,-,1,-,-,-
"О преступлениях против общественной нравственности и нарушении ограждающих оную постановлений 993–1 003",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,7,3,-,1,1,-,-,-,1,-
"О нарушении устава почтово-телеграфного 1 098–1 148",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"О нарушении уставов торговых 1 169–1 345",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,3,-,-,-,-,-
"О нарушении постановлений ремесленных 1 360–1 377",-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,3,1,-,-,-,-
"О преступлениях и проступках против законов о состояниях 1 412–1 424",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-
"О смертоубийстве 1 449–1 471",-,-,-,-,1,1,-,-,22,-,-,-,-,-,6,5,26,4,21,-,15,-,5,-,3,1
"О самоубийстве 1 472–1 476",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
"О нанесении увечья, ран и других повреждений здоровью 1 477–1 496",-,-,1,-,3,-,-,-,20,-,-,-,1,-,15,-,40,-,49,2,26,2,3,-,4,-
"О преступлениях против чести и целомудрия женщин 1 523–1 532",-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-
"О непосредственных личных оскорблениях 1 533–1 534",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-
"О клевете и распространении оскорбительных для чести сочинений, оскорбления или слухов 1 535–1 539",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О преступлениях против союза брачного 1 549–1 589",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О преступлениях детей против родителей и по другим совестным делам 1 591–1 592",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О зажигательстве 1 606–1 615",-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,3,-,1,1,-,-,-,-,-,-
"Об истреблении чужого имущества 1 616–1 625",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О разбое 1 627–1 636",-,-,-,-,-,-,-,-,9,-,-,-,-,-,2,-,6,-,9,-,4,-,-,-,-,-
"О грабеже 1 637–1 643",-,-,-,-,-,-,-,-,8,-,-,-,-,-,2,-,8,1,5,-,1,-,-,-,1,-
