Наименование преступлений,Число преступлений,Число осужденных М.,Число осужденных Ж.,Дворян потомственных М.,Дворян потомственных Ж.,Дворян личных М.,Дворян личных Ж.,Потомственных граждан и купцов М.,Потомственных граждан и купцов Ж.,Духовного звания М.,Духовного звания Ж.,Мещан М.,Мещан Ж.,Крестьян М.,Крестьян Ж.
"О краже 1 644—1 664",223,263,9,3,-,-,-,1,-,-,-,21,1,96,6
"О мошенничестве 1 665—1 676",2,4,-,-,-,-,-,-,-,-,-,2,-,2,-
"О присвоении и утайке чужой собственности 1 677—1 685",5,5,-,-,-,-,-,-,-,-,-,-,-,3,-
"О преступлениях и проступках по договорам и других обязательствам 1 686—1 711",8,8,-,-,-,-,-,-,-,-,-,2,-,3,-
"Итого по Уложению о наказаниях",1010,894,83,7,-,12,-,5,2,-,-,107,12,468,57
"По Мировому уставу:",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"О преступлениях против порядка управления 29—34",1013,856,97,14,1,10,2,9,4,1,-,232,31,511,56
"О нарушении порядка и спокойствия 37—51",540,631,61,2,-,4,1,4,1,-,-,226,13,269,45
"О проступках против общественного благоустройства 52—57",233,183,61,1,1,3,2,3,-,2,2,58,49,109,7
"О нарушении устава о паспортах 58—64",529,433,25,1,-,-,-,-,-,-,-,21,4,226,10
"О нарушении устава строительного 65—87",160,103,36,-,-,-,-,-,-,-,1,53,32,40,3
"О нарушении правил осторожности от пожаров 88—98",170,106,14,2,-,-,-,1,-,-,-,3,2,94,11
"О нарушении уставов почтового и телеграфного 99—101",1,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"О проступках против народного здравия 102—116",174,153,21,-,1,-,-,5,1,-,-,45,8,84,11
"О порядках против личной безопасности 117—129",179,148,8,1,-,4,-,8,-,-,-,47,6,80,2
"Об оскорблении чести 130—138",494,364,105,9,-,13,3,3,-,2,-,129,53,168,46
"Об угрозах и насилии 139—142",435,259,49,-,-,3,1,1,-,-,-,69,17,141,27
"О самовольном пользовании чужим имуществом и повреждении оного 145—153",107,91,2,-,-,-,-,-,-,-,-,5,-,81,2
"О похищении и повреждении чужого леса 154—168",525,531,6,1,-,-,-,1,-,-,-,36,1,445,4
"О краже 169—172",1119,898,106,-,-,1,-,-,-,-,-,84,17,503,81
"О мошенничестве, обманах и присвоении чужого имущества 173—181",302,186,30,-,-,1,-,-,-,-,-,32,6,107,21
"Итого по Мировому уставу",5981,4943,621,31,3,39,9,36,6,5,3,1040,239,2858,326
"О побегах ссыльнопоселенцев в Сибири ст. 445 уст. о ссыль.",11,11,-,-,-,-,-,-,-,-,-,-,-,-,-
"Всего",5992,4954,621,31,3,39,9,36,6,5,3,1040,239,2858,326
