Наименование преступлений,Водворяемых рабочих (М),Водворяемых рабочих (Ж),Военных (М),Военных (Ж),Инородцев (М),Инородцев (Ж),Иностранных подданных (М),Иностранных подданных (Ж),Поселенцев (М),Поселенцев (Ж),Ссыльно-каторжных (М),Ссыльно-каторжных (Ж),Ниже 17 лет (М),Ниже 17 лет (Ж),17-20 (М),17-20 (Ж),21-30 (М),21-30 (Ж),31-40 (М),31-40 (Ж),41-50 (М),41-50 (Ж),51-60 (М),51-60 (Ж),Свыше 60 лет (М),Свыше 60 лет (Ж)
О краже 1644-1664,4,-,-,-,3,-,-,-,135,2,-,-,2,-,13,-,80,5,85,2,45,2,25,-,13,-
О мошенничестве 1665-1676,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,2,-,1,-,-,-,-,-
О присвоении и утайке чужой собственности 1677-1685,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,-,2,-,-,-
О преступлениях и проступках по договорам и других обязательствам 1686-1711,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,-,1,-,2,-,4,-,-,-,-,-
Итого по Уложению о наказаниях,5,-,13,-,9,6,-,-,262,6,6,-,7,1,53,9,274,22,293,25,168,18,62,6,37,2
По Мировому уставу:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
О преступлениях против порядка управления 29-34,-,-,9,-,1,-,-,-,69,3,-,-,2,4,55,5,238,10,221,49,203,15,95,11,42,3
О нарушении порядка и спокойствия 37-51,-,-,2,-,4,-,-,-,120,1,-,-,3,-,69,2,239,22,189,23,100,10,26,3,5,1
О проступках против общественного благоустройства 52-57,-,-,5,-,-,-,-,-,2,-,-,-,-,-,6,-,23,2,68,27,47,16,21,7,18,9
О нарушении устава о паспортах 58-64,-,-,-,-,1,-,1,-,184,10,-,-,-,1,8,3,65,5,167,11,151,5,31,-,11,-
О нарушении устава строительного 65-87,-,-,-,-,-,-,-,-,10,-,-,-,1,-,2,-,18,5,39,15,34,11,7,4,2,1
О нарушении правил осторожности от пожаров 88-98,-,-,1,-,1,-,-,-,4,1,-,-,4,2,6,1,19,4,34,3,22,1,12,2,9,1
О нарушении уставов почтового и телеграфного 99-101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
О проступках против народного здравия 102-116,-,-,2,-,3,-,-,-,14,-,-,-,-,-,2,-,40,7,56,4,31,9,17,1,7,-
О порядках против личной безопасности 117-129,-,-,2,-,-,-,-,-,6,-,-,-,3,-,8,1,41,2,48,4,30,-,13,1,5,-
Об оскорблении чести 130-138,2,-,6,-,4,3,-,-,28,-,-,-,4,2,8,9,142,28,131,41,50,21,25,2,4,2
Об угрозах и насилии 139-142,1,-,4,-,20,2,-,-,20,2,-,-,4,1,23,-,88,21,83,15,47,9,9,2,5,1
О самовольном пользовании чужим имуществом и повреждении оного 145-153,-,-,-,-,1,-,-,-,4,-,-,-,-,-,-,-,32,1,34,1,18,-,7,-,-,-
О похищении и повреждении чужого леса 154-168,-,-,-,-,15,-,-,-,33,1,-,-,9,-,23,1,147,-,154,1,109,3,70,1,19,-
О краже 169-172,1,-,2,-,29,1,-,-,278,7,-,-,37,8,87,17,293,29,246,22,125,16,78,10,32,4
О мошенничестве, обманах и присвоении чужого имущества 173-181,-,-,2,-,1,-,-,-,43,3,-,-,3,-,8,-,39,10,64,12,45,4,17,3,10,1
Итого по Мировому уставу,4,-,35,-,80,6,-,1,815,28,-,-,70,18,305,39,1424,146,1534,228,1013,120,428,47,169,23
О побегах ссыльнопоселенцев в Сибири ст. 445 уст. о ссыльн.,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,7,-,2,-,2,-,-,-,-,-
Всего,4,-,35,-,80,6,-,1,826,28,-,-,70,18,305,39,1431,146,1536,228,1015,120,428,47,169,23
