"Города и уезды","В зимние месяцы - Число пожаров","В зимние месяцы - Число погоревших дворов","В зимние месяцы - Сумма убытков","В весенние месяцы - Число пожаров","В весенние месяцы - Число погоревших дворов","В весенние месяцы - Сумма убытков"
"В г. Красноярске",10,5,"6 732",4,4,"2 500"
"уезде его",23,23,829,13,17,"1 838"
"г. Енисейске",3,2,150,3,2,80
"уезде его",27,8,"1 056-50",8,1,110
"г. Канске","-","-","-","-","-","-"
"уезде его",37,41,"3 382-75",32,39,"4 023"
"г. Ачинске",1,1,"3 000",1,1,400
"уезде его",7,7,445,4,4,153
"г. Минусинске","-","-","-",3,3,"8 330"
"уезде его",28,29,"1 101",13,28,"4 455"
"Усинском пограничном округе",2,2,40,"-","-","-"
"Туруханском крае","-","-","-","-","-","-"
"Итого",138,118,"16 736-25",81,99,"21 889"
