"Города и уезды","В летние месяцы (Число пожаров)","В летние месяцы (Число погоревших дворов)","В летние месяцы (Сумма убытков)","В осенние месяцы (Число пожаров)","В осенние месяцы (Число погоревших дворов)","В осенние месяцы (Сумма убытков)","Всего в год (Число пожаров)","Всего в год (Число погоревших дворов)","Всего в год (Сумма убытков)","Причина пожаров (От дурного устройства печей и труб)","Причина пожаров (От неосторожности)","Причина пожаров (От поджога)","Причина пожаров (От других причин)"
"В г. Красноярске",3,3,"10 210",11,11,"6 235",28,23,"25 677",10,10,2,6
"уезде его",18,37,"2 557-80",17,19,"2 107",71,96,"7 331-80",18,31,11,11
"г. Енисейске",1,5,"1 965",5,5,"2 930",12,14,"5 125",2,-,-,10
"уезде его",16,31,"27 372",9,-,"457-80",60,40,"28 996-30",31,2,2,25
"г. Канске",1,1,100,-,-,-,1,1,100,-,-,-,1
"уезде его",22,23,"3 951",43,46,"5 962-35",134,149,"17 319-10",13,34,21,66
"г. Ачинске",1,1,50,1,1,100,4,4,"3 550",-,-,-,4
"уезде его",7,19,"3 997",15,26,"16 623-30",33,56,"21 218-30",1,7,8,17
"г. Минусинске",-,-,-,1,1,180,4,4,"8 510",-,-,-,4
"уезде его",17,17,768,18,20,"1 623",76,94,"7 947",24,8,6,38
"Усинском пограничном округе",1,1,Непрост.,-,-,-,3,3,40,1,1,-,1
"Туруханском крае",-,-,-,-,-,-,-,-,-,-,-,-,-
"Итого",87,138,"50 970-80",120,129,"36 218-45",426,484,"125 814-50",100,93,50,183
