Города и уезды,Лошадей,Рогатого скота,Овец,Свиней
Города: Красноярск,4063,3632,307,407
Ачинск,808,828,38,87
Канск,1889,1586,789,531
Енисейск,2208,1871,-,178
Минусинск,1600,1600,2500,-
Туруханск,36,40,-,-
Уезды: Красноярский,43811,34312,27606,14510
Ачинский,110962,88098,1709,26885
Канский,70829,72268,75049,25048
Енисейский,36288,29184,25262,7559
Минусинский.,179720,203013,449566,16000
Усинский пограничный округ,2274,3317,1950,374
ИТОГО в городах,10604,9557,3634,1203
” в уездах,443884,430192,581142,90376
