Города и уезды,Число случаев смертоубийства - Детоубийство новорожденных,Число случаев смертоубийства - Смертоубийство,Число случаев смертоубийства - Итого,Жертвы смертоубийства - Детоубийство М.,Жертвы смертоубийства - Детоубийство Ж.,Жертвы смертоубийства - Смертоубийство М.,Жертвы смертоубийства - Смертоубийство Ж.,Жертвы смертоубийства - Итого М.,Жертвы смертоубийства - Итого Ж.,Самоубийство М.,Самоубийство Ж.,Скоропостижно - От болезни М.,Скоропостижно - От болезни Ж.,Скоропостижно - От пьянства М.,Скоропостижно - От пьянства Ж.
В г. Красноярске,3,14,17,2,1,12,2,14,3,7,3,-,-,9,1
уезде оного,1,11,12,-,1,8,3,8,4,2,-,5,3,2,-
г. Енисейске,-,4,4,-,-,2,2,2,2,-,-,-,-,-,-
уезде оного,-,3,3,-,-,2,1,2,1,3,-,6,-,1,-
г. Канске,-,11,11,-,-,9,2,9,2,5,-,-,-,-,-
уезде оного,-,25,25,-,-,17,8,17,8,9,-,-,-,3,-
г. Ачинске,-,1,1,-,-,1,-,1,-,1,-,-,-,-,-
уезде оного,-,6,6,-,-,4,2,4,2,3,1,-,-,1,-
г. Минусинске,-,3,3,-,-,2,1,2,1,-,-,-,-,4,-
уезде оного,2,26,28,-,2,16,10,16,12,6,1,8,3,4,-
г. Туруханске и Туруханском крае,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Усинском пограничном округе,-,-,С,в,е,д,е,н,и,й,-,-,-,-,-
На частных золотых промыслах,-,6,6,-,-,5,1,5,1,5,-,9,-,-,-
Итого,6,110,116,2,4,78,32,80,36,41,5,28,6,24,1
