Города и уезды,От неизвестных причин М,От неизвестных причин Ж,Итого М,Итого Ж,Найденные мертвые тела М,Найденные мертвые тела Ж,Убито градом М,Убито градом Ж,Задавлено и упало с высоты М,Задавлено и упало с высоты Ж,Сгорело и убито на пожарах М,Сгорело и убито на пожарах Ж,Умерло от угара М,Умерло от угара Ж,Замерзло М,Замерзло Ж,Утонуло М,Утонуло Ж,Укушено до смерти зверями М,Укушено до смерти зверями Ж,Умерло от других случайностей М,Умерло от других случайностей Ж,Итого М,Итого Ж,Всего умерло М,Всего умерло Ж
В г. Красноярске,-,-,9,1,-,-,-,-,-,-,-,-,2,1,2,-,-,-,-,-,13,4,17,5,47,12
уезде оного,9,1,16,4,2,-,-,-,-,-,-,-,2,-,-,-,3,-,-,-,3,2,6,2,34,10
г. Енисейске,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,3,-,2,1,11,3
уезде оного,11,-,18,-,4,1,-,-,4,-,-,-,1,-,1,-,3,-,1,-,1,1,11,1,38,3
г. Канске,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,5,-,7,-,22,2
уезде оного,-,-,3,-,2,-,1,-,5,-,5,1,2,-,4,1,9,3,-,-,47,6,73,11,104,19
г. Ачинске,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,7,-,10,-,15,-
уезде оного,16,7,17,7,6,-,-,-,2,-,-,-,-,-,1,-,6,1,-,-,-,-,9,1,39,11
г. Минусинске,1,1,5,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,4,-,11,2
уезде оного,14,1,26,4,9,-,3,1,10,-,2,1,1,1,1,-,10,2,-,-,4,4,31,8,88,25
г. Туруханске и Туруханском крае,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-
Усинском пограничном округе,н,е,д,о,с,т,а,в,л,е,н,о,-,-,-,-,-,-,-,-,-,-,-,-,-,-
На частных золотых промыслах,6,3,15,3,1,-,-,-,1,-,-,-,-,-,3,-,2,-,-,-,2,-,8,-,34,4
Итого,66,13,118,20,26,-,4,1,22,-,7,2,6,1,12,1,43,7,1,-,85,17,179,29,445,91
