Название учебных заведений,В губернском городе - Число учебных заведений,В губернском городе - Число учащихся - муж.,В губернском городе - Число учащихся - жен.,В уездных городах - Число учебных заведений,В уездных городах - Число учащихся - муж.,В уездных городах - Число учащихся - жен.,В уездах - Число учебных заведений,В уездах - Число учащихся - муж.,В уездах - Число учащихся - жен.,ВСЕГО В ГУБЕРНИИ - Число учебных заведений,ВСЕГО В ГУБЕРНИИ - Число учащихся - муж.,ВСЕГО В ГУБЕРНИИ - Число учащихся - жен.,ВСЕГО В ГУБЕРНИИ - Число учащихся - обоего пола
Мужская классическая гимназия,1,340,-,-,-,-,-,-,-,1,340,-,340
Мужская шестиклассная прогимназия,-,-,-,1,110,-,-,-,-,1,110,-,110
Женская гимназия,1,-,498,1,-,160,-,-,-,2,-,658,658
Женская прогимназия,-,-,-,2,-,345,-,-,-,2,-,345,345
Духовная семинария,1,99,-,-,-,-,-,-,-,1,99,-,99
Духовное училище,1,174,-,-,-,-,-,-,-,1,174,-,174
Учительская семинария,1,65,-,-,-,-,-,-,-,1,65,-,65
При ней начальная школа,1,51,-,-,-,-,-,-,-,1,51,-,51
Первое Сибирское техническое железнодорожное училище имени ИМПЕРАТОРА НИКОЛАЯ II,1,73,-,-,-,-,-,-,-,1,73,-,73
Лесная школа,-,-,-,-,-,-,1,20,-,1,20,-,20
Городское четырехклассное училище,-,-,-,1,201,-,-,-,-,1,201,-,201
Городское трехклассное училище,1,215,-,3,439,-,-,-,-,4,654,-,654
Двухклассное при Красн. маст. С. Ж. Д. имени В. М. Павловского училище с интернатом,1,279,7,-,-,-,-,-,-,1,279,7,286
Женское железнодорожное училище,1,58,102,-,-,-,-,-,-,1,58,102,116
Щеголевское ремесленное двухклассное училище,1,54,-,-,-,-,-,-,-,1,54,-,54
Училище при сиропитательном доме Щеголевой,1,-,11,-,-,-,-,-,-,1,-,11,11
Епархиальное женское училище,1,-,116,-,-,-,-,-,-,1,-,116,116
Начальное женское училище,1,-,56,2,-,172,-,-,-,3,-,228,228
Владимирский детский приют,1,-,76,-,-,-,-,-,-,1,-,76,76
Приют арестантских детей,1,20,13,-,-,-,-,-,-,1,20,13,33
Александровский дом призрения бедных детей,-,-,-,1,16,-,-,-,-,1,16,-,16
Мещанское училище,1,-,50,-,-,-,-,-,-,1,-,50,50
Еврейское училище,-,-,-,1,22,-,-,-,-,1,22,-,22
Частные училища,1,-,28,1,-,19,1,13,5,3,13,52,65
Приходское двухклассное училище,-,-,-,1,82,43,-,-,-,1,82,43,125
Приходские одноклассные училища,10,420,98,11,507,287,37,1213,522,58,2140,847,2987
Сельские двухклассные училища,-,-,-,-,-,-,3,232,98,3,232,98,330
Сельские одноклассные училища,-,-,-,-,-,-,56,1753,449,56,1753,449,2352
Приходское одноклассное железнодорожное училище,-,-,-,1,23,17,-,-,-,1,23,17,40
Сельское двухклассное железнодорожное училище,-,-,-,-,-,-,1,60,23,1,60,23,83
Сельское одноклассное железнодорожное училище,-,-,-,-,-,-,2,47,27,2,47,27,74
2-классные церковно-приходские школы,-,-,-,-,-,-,-,-,-,9,-,-,} 9 000
1-классные церковно-приходские школы,-,-,-,-,-,-,-,-,-,213,-,-,} 9 000
Итого,29,1888,1148,26,1400,1043,101,3338,1124,377,6486,3302,18 788*
