Наименование сословий,Губернский город Красноярск М.,Губернский город Красноярск Ж.,Уезд Красноярский М.,Уезд Красноярский Ж.,Уездный город Енисейск М.,Уездный город Енисейск Ж.,Уезд Енисейский М.,Уезд Енисейский Ж.,Уездный город Канск М.,Уездный город Канск Ж.,Уезд Канский М.,Уезд Канский Ж.
I. Дворян:,,,,,,,,,,,,
Потомственных,253,169,42,28,56,45,19,16,6,8,67,67
Личных,735,705,20,18,29,23,15,9,6,4,20,18
II. Духовенства православного:,,,,,,,,,,,,
а) монашествующего,46,-,28,30,11,48,-,-,-,-,-,-
б) белого,60,-,86,-,11,-,24,-,4,-,48,-
Других исповеданий,-,-,-,-,1,-,-,-,-,-,-,-
Церковнослужителей и семейств духовенства,81,65,69,110,17,28,60,94,2,5,99,148
Воспитанников духовного училища,291,68,-,-,-,-,-,-,-,-,-,-
III. Городских сословий:,,,,,,,,,,,,
Почетных граждан потомственных,48,69,6,10,34,47,18,18,24,18,8,14
Почетных граждан личных,91,167,6,2,31,49,4,2,25,28,-,..
Купцов,121,142,-,-,63,67,6,8,65,55,12,9
Мещан,8480,7717,369,364,2567,2469,302,270,3172,2792,283,247
IV. Сельских сословий:,,,,,,,,,,,,
Крестьян,5826,5001,31039,30495,1679,1921,21572,21871,509,461,55876,54393
V. Военных:,,,,,,,,,,,,
Регулярных войск,1365,-,-,-,107,-,-,-,187,-,-,-
Иррегулярных,100,-,-,-,-,-,-,-,-,-,-,-
Находящихся в продолжительном отпуску,-,-,2,-,-,-,-,-,-,-,4,-
Состоящих в запасе армии,1750,-,1413,-,153,-,565,-,44,-,2443,-
"Отставных нижних чинов, солдатских жен, сыновей и дочерей",233,224,600,1230,57,193,308,178,84,105,997,1933
"Нижних чинов, состоящих на казенном содержании",16,-,7,-,-,-,-,-,-,-,15,-
VI. Разночинцев,2556,2500,714,627,9,7,2,-,170,115,134,84
VII. Иностранных подданных,49,25,-,-,6,3,1,-,-,-,1,-
VII. Инородцев,5,4,107,96,5,-,441,416,5,4,158,167
IX. Ссыльных всех категорий,1593,1182,10084,2469,223,71,4654,298,28,20,10692,12766
Пришедших с ссыльными по воле,1822,1817,1935,2360,31,19,561,1048,-,-,-,-
ИТОГО,25521,19855,46527,37839,5090,4990,28552,24228,4331,3615,70857,69846
