Наименование сословий,Уездный город Ачинск М.,Уездный город Ачинск Ж.,Уезд Ачинский М.,Уезд Ачинский Ж.,Уездный город Минусинск М.,Уездный город Минусинск Ж.,Уезд Минусинский М.,Уезд Минусинский Ж.,Заштатный город Туруханск М.,Заштатный город Туруханск Ж.,Туруханский край М.,Туруханский край Ж.,Усинский пограничный округ М.,Усинский пограничный округ Ж.
Потомственных,38,39,10,8,10,10,31,34,1,-,-,-,3,4
Личных,-,-,12,9,14,2,56,47,1,4,1,-,4,5
а) монашествующего,2,-,-,-,-,-,-,-,-,-,4,-,-,-
б) белого,4,-,54,-,5,-,96,-,10,-,11,-,4,-
Других исповеданий,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Церковнослужителей и семейств духовенства,11,17,143,195,12,17,126,263,8,9,5,9,-,2
Воспитанников духовного училища,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Почетных потомств.,-,-,4,-,5,14,14,14,1,4,-,-,-,-
Почетных личных,13,10,11,12,2,-,7,13,3,-,4,3,-,-
Купцов,65,72,22,19,66,78,37,33,4,5,-,-,3,3
Мещан,1607,1672,319,321,2460,2643,732,768,20,20,90,88,71,53
Крестьян,1169,1126,49455,51204,351,404,72591,74913,10,10,1500,1350,1280,1136
Регулярных войск,220,-,-,-,136,-,-,-,-,-,-,-,-,-
Иррегулярных,-,-,-,-,-,-,-,-,33,-,30,-,-,-
Находящихся в продолжительном отпуску,-,-,31,-,7,-,3,-,-,-,-,-,-,-
Состоящих в запасе армии,173,-,1865,-,45,-,3424,-,2,-,1,-,61,-
"Отставных нижних чинов, солдатских жен, сыновей и дочерей",-,362,641,2120,72,79,1516,2179,-,37,-,20,5,46
"Нижних чинов, состоящих на казенном содержании",-,-,7,-,-,-,10,-,-,-,-,-,-,-
VI. Разночинцев,-,-,100,90,51,50,13,11,-,-,-,-,1,2
VII. Иностранных подданных,-,-,-,-,2,2,2,1,-,-,-,-,-,-
VII. Инородцев,15,12,4162,3890,23,19,16812,16453,13,10,3920,3566,111,83
IX. Ссыльных всех категорий,291,142,6638,1145,48,25,4625,1295,6,-,197,4,94,-
Пришедших с ссыльными по воле,33,40,1708,1614,4,19,361,446,-,-,11,23,-,-
ИТОГО,3641,3492,65182,60627,3313,3362,100457,96470,112,99,5774,5063,1637,1334
