Наименование сословий,Енисейского уезда Северной систем М.,Енисейского уезда Северной систем Ж.,Енисейского уезда Южной систем М.,Енисейского уезда Южной систем Ж.,Красноярского уезда М.,Красноярского уезда Ж.,Канского уезда М.,Канского уезда Ж.,Ачинского уезда М.
I. Дворян:,,,,,,,,,
Потомственных,8,4,9,5,-,-,-,-,1
Личных,-,-,2,-,-,-,7,6,-
II. Духовенства православного:,,,,,,,,,
а) монашествующего,-,-,-,-,-,-,-,-,-
б) белого,2,-,1,-,-,-,-,-,-
Других исповеданий,-,-,-,-,-,-,-,-,-
Церковнослужителей и семейств духовенства,-,-,-,-,-,-,-,-,-
Воспитанников духовного училища,-,-,-,-,-,-,-,-,-
III. Городских сословий:,,,,,,,,,
Почетных граждан потомственных,9,4,7,4,-,-,-,-,-
Почетных граждан личных,-,-,2,2,-,-,-,-,1
Купцов,3,1,1,-,-,-,-,-,3
Мещан,85,18,480,148,15,6,21,3,135
IV. Сельских сословий:,,,,,,,,,
Крестьян,1696,395,2084,539,80,26,298,95,465
V. Военных:,,,,,,,,,
Регулярных войск,-,-,-,-,-,-,-,-,-
Иррегулярных,-,-,-,-,-,-,-,-,-
Находящихся в продолжительном отпуску,-,-,-,-,-,-,-,-,-
Состоящих в запасе армии,-,-,48,-,5,-,12,-,-
"Отставных нижних чинов, солдатских жен, сыновей и дочерей",-,-,-,1,-,-,-,-,-
"Нижних чинов, состоящих на казенном содержании",-,-,-,-,-,-,-,-,-
VI. Разночинцев,5,1,54,2,-,-,-,-,6
VII. Иностранных подданных,1,1,-,-,-,-,-,-,-
VIII. Инородцев,8,5,22,-,1,-,1,1,94
IX. Ссыльных всех категорий,640,5,975,102,12,2,78,1,292
Пришедших с ссыльными по воле,-,-,-,-,-,-,-,-,-
Итого,2457,434,3685,803,113,34,417,108,997
