Наименование сословий,Ачинского уезда (Ж.),Минусинского уезда (М.),Минусинского уезда (Ж.),Усинский пограничный округ (М.),Усинский пограничный округ (Ж.),Итого в городах (М.),Итого в городах (Ж.),Итого в уездах (М.),Итого в уездах (Ж.),Всего в губернии (М.),Всего в губернии (Ж.)
Потомственных,1,8,6,-,-,364,271,198,173,562,444
Личных,-,-,-,-,-,785,738,137,112,922,850
а) монашествующего,-,-,-,-,-,59,48,32,30,91,78
б) белого,-,-,-,-,-,94,-,326,-,420,-
Других исповеданий,-,-,-,-,-,1,-,1,-,2,-
Церковнослужителей и семейств духовенства,-,-,-,-,-,131,141,502,821,633,962
Воспитанников духовного училища,-,-,-,-,-,291,68,-,-,291,68
Почетных граждан потомственных,-,4,3,-,-,112,152,70,67,182,219
Почетных граждан личных,-,1,-,-,-,165,254,36,34,201,288
Купцов,4,2,3,-,-,384,419,89,80,473,499
Мещан,43,187,88,29,18,18306,17313,3118,2437,21424,19750
Крестьян,202,1043,535,260,116,9544,8923,239239,237240,248783,246193
Регулярных войск,-,-,-,-,-,2015,-,-,-,2015,-
Иррегулярных,-,-,-,-,-,133,-,30,-,163,-
Находящихся в продолжительном отпуску,-,-,-,-,-,7,-,40,-,47,-
Состоящих в запасе армии,-,-,-,5,-,2167,-,9842,-,12009,-
Отставных нижних чинов солдатских жен сыновей и дочерей,-,5,8,-,1,446,1000,4072,7716,4518,8716
Нижних чинов состоящих на казенном содержании,-,-,-,-,-,16,-,39,-,55,-
VI. Разночинцев,5,11,2,1,2,2786,2672,1041,826,3827,3498
VII. Иностранных подданных,-,-,-,-,-,57,30,5,2,62,32
VIII. Инородцев,31,45,22,22,18,66,49,25904,24748,25970,24797
IX. Ссыльных всех категорий,25,378,61,93,-,2189,1440,39452,18173,41641,19613
Пришедших с ссыльными по воле,-,-,-,-,-,1890,1895,4576,5491,6466,7386
ИТОГО,311,1684,728,410,155,42008,35413,328749,297980,370757,333393
