Наименование вероисповеданий,Губернский город Красноярск (м.),Губернский город Красноярск (ж.),Уезд Красноярский (м.),Уезд Красноярский (ж.),Уездный город Енисейск (м.),Уездный город Енисейск (ж.),Уезд Енисейский (м.),Уезд Енисейский (ж.),Уездный город Канск (м.),Уездный город Канск (ж.),Уезд Канский (м.),Уезд Канский (ж.)
Православное,22781,18519,45106,36822,4509,4583,27853,23975,3727,3090,67186,67703
Раскольники,45,30,52,51,-,-,37,12,312,300,312,300
Единоверческое,28,38,-,-,41,6,-,-,-,-,9,8
Армяно-григорианское,39,29,-,-,3,1,3,-,-,-,-,-
Римско-католическое,1170,442,827,543,31,14,197,64,31,24,950,523
Лютеранское,138,90,76,43,-,-,14,-,-,-,1105,1021
Протестантское,75,49,-,-,21,7,2,-,-,-,68,59
Греко-униатское,-,-,-,-,-,-,1,-,-,-,-,-
Еврейское,663,323,235,220,129,156,187,78,226,178,562,441
Магометанское,576,335,231,160,356,223,224,67,35,23,665,460
Далай-ламайское,-,-,-,-,-,-,1,-,-,-,-,-
Идолопоклонники,4,-,-,-,-,-,-,-,-,-,-,-
Шаманствующие,-,-,-,-,-,-,33,32,-,-,-,-
Итого,25521,19855,46527,37839,5090,4990,28552,24228,4331,3615,70857,69846
