Наименование вероисповеданий,Уездный город Ачинск м.,Уездный город Ачинск ж.,Уезд Ачинский м.,Уезд Ачинский ж.,Уездный город Минусинск м.,Уездный город Минусинск ж.,Уезд Минусинский м.,Уезд Минусинский ж.,Заштатный город Туруханск м.,Заштатный город Туруханск ж.,Туруханский край м.,Туруханский край ж.,Усинский пограничный округ м.,Усинский пограничный округ ж.
Православное,3117,2962,63310,58909,3028,3085,92499,89517,108,99,5160,4445,898,661
Раскольники,10,8,573,577,56,77,4170,4125,-,-,7,-,623,648
Единоверческое,-,-,-,-,-,-,3,4,-,-,-,-,-,-
Армяно-григорианское,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Римско-католическое,151,139,475,396,66,53,984,764,4,-,2,-,4,-
Лютеранское,-,-,12,10,34,25,1780,1176,-,-,-,-,98,22
Протестантское,9,12,6,2,-,-,10,6,-,-,-,-,2,1
Греко-униатское,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Еврейское,265,289,422,373,36,36,681,614,-,-,-,-,-,-
Магометанское,89,82,384,360,93,86,329,264,-,-,5,2,12,2
Далай-ламайское,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Идолопоклонники,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Шаманствующие,-,-,-,-,-,-,-,-,-,-,600,616,-,-
Итого,3641,3492,65182,60627,3313,3362,100457,96470,112,99,5774,5063,1637,1334
