Наименование вероисповеданий,Енисейского округа Северной систем М.,Енисейского округа Северной систем Ж.,Енисейского округа Южной систем М.,Енисейского округа Южной систем Ж.,Красноярского уезда М.,Красноярского уезда Ж.,Канского уезда М.,Канского уезда Ж.
Православное,2273,405,3495,782,103,34,378,103
Раскольники разных сект,3,1,-,-,-,-,-,-
Единоверческое,-,-,-,-,-,-,-,-
Армяно-григорианское,-,-,-,-,-,-,-,-
Римско-католическое,54,8,69,6,4,-,9,-
Лютеранское,3,-,-,-,2,-,3,2
Протестантское,1,-,-,-,-,-,-,-
Греко-униатское,-,-,-,-,-,-,-,-
Еврейское,10,-,10,4,-,-,7,2
Магометанское,113,20,111,11,4,-,20,1
Далай-ламайское,-,-,-,-,-,-,-,-
Идолопоклонники,-,-,-,-,-,-,-,-
Шаманствующие,-,-,-,-,-,-,-,-
Итого,2457,434,3685,803,113,34,417,108
