Наименование вероисповеданий,Ачинского уезда (М.),Ачинского уезда (Ж.),Минусинского уезда (М.),Минусинского уезда (Ж.),Усинский пограничный округ (М.),Усинский пограничный округ (Ж.),Итого в городах (М.),Итого в городах (Ж.),Итого в уездах (М.),Итого в уездах (Ж.),Всего в губернии (М.),Всего в губернии (Ж.)
Православное,862,280,1484,672,299,131,37270,32338,310906,283775,348176,316113
Раскольники разных сект,-,-,19,5,-,-,423,415,5796,5719,6219,6134
Единоверческое,-,-,-,-,-,-,69,44,12,12,81,56
Армяно-григорианское,-,-,-,-,-,-,42,30,4,-,46,30
Римско-католическое,24,7,38,9,4,-,1453,672,3641,2320,5094,2992
Лютеранское,26,2,110,32,98,22,172,115,3327,2330,5499,2445
Протестантское,-,-,-,-,-,-,105,68,89,63,194,131
Греко-униатское,-,-,-,-,-,-,-,-,1,-,1,-
Еврейское,9,5,-,-,-,-,1321,982,2123,1737,3444,2719
Магометанское,76,17,33,10,9,2,1149,749,2216,1376,3365,2125
Далай-ламайское,-,-,-,-,-,-,-,-,1,-,1,-
Идолопоклонники,-,-,-,-,-,-,4,-,-,-,4,-
Шаманствующие,-,-,-,-,-,-,-,-,633,648,633,648
Итого,997,311,1684,728,410,155,42008,35413,328749,297980,370757,333393
