Исповедание,Месяцы,Законнорожденных М. п.,Законнорожденных Ж. п.,Вне брака М. п.,Вне брака Ж. п.,Всего рождений без мертворожденных М. п.,Всего рождений без мертворожденных Ж. п.
,Январь,121,107,24,18,145,125
,Февраль,132,113,21,22,153,135
,Март,130,116,16,17,146,133
,Апрель,133,93,17,18,150,111
,Май,117,109,15,18,132,127
,Июнь,127,114,12,19,139,133
,Июль,139,111,12,17,151,128
,Август,120,113,13,17,133,130
,Сентябрь,125,115,12,18,137,133
,Октябрь,127,109,17,18,144,127
,Ноябрь,107,116,13,22,120,138
,Декабрь,102,111,15,15,117,126
,Итого,1480,1327,187,219,1667,1546
