В том числе - двойней - М. п.,В том числе - двойней - Ж. п.,В том числе - тройней - М. п.,В том числе - тройней - Ж. п.,В том числе - четверней - М. п.,В том числе - четверней - Ж. п.,В том числе - подкидышей - М. п.,В том числе - подкидышей - Ж. п.,Перешедших в православие (*) - М. п.,Перешедших в православие (*) - Ж. п.
26,28,-,-,-,-,1,-,5,10
29,25,1,2,-,-,-,-,5,9
39,29,2,1,-,-,2,1,5,6
35,29,-,-,-,-,-,-,14,8
46,42,-,-,-,-,-,-,2,3
31,27,-,-,-,-,-,-,17,7
41,39,1,2,-,-,-,-,35,13
31,23,-,-,-,-,-,-,2,-
24,26,-,-,-,-,1,-,2,-
22,24,-,-,-,-,-,1,4,3
33,11,-,-,-,-,-,-,8,12
12,24,-,-,-,-,-,-,-,4
369,327,4,3,-,-,4,2,99,75
