Исповедание,Месяцы,Законнорожденных М. П.,Законнорожденных Ж. П.,Вне брака М. П.,Вне брака Ж. П.,Всего рождений без мертворожденных М. П.,Всего рождений без мертворожденных Ж. П.
,Январь,1573,1476,175,167,1748,1643
,Февраль,1353,1285,112,118,1465,1403
,Март,1437,1379,135,119,1572,1498
,Апрель,1362,1200,94,107,1456,1307
,Май,1118,1104,148,178,1266,1282
,Июнь,1572,1507,143,132,1715,1639
,Июль,1551,1460,157,153,1708,1613
,Август,1515,1447,113,111,1628,1558
,Сентябрь,1289,1239,113,123,1402,1362
,Октябрь,1438,1366,146,148,1584,1514
,Ноябрь,1402,1374,167,185,1569,1559
,Декабрь,1122,1040,117,106,1239,1146
,Итого,16732,15877,1620,1647,18352,17524
