Июль (м.),Июль (ж.),Август (м.),Август (ж.),Сентябрь (м.),Сентябрь (ж.),Октябрь (м.),Октябрь (ж.),Ноябрь (м.),Ноябрь (ж.),Декабрь (м.),Декабрь (ж.),В год (м.),В год (ж.),Всего
-,-,-,-,-,2,-,3,-,-,1,-,5,7,12
1,-,-,-,1,2,-,-,3,1,1,1,14,7,21
-,1,-,-,-,1,-,-,-,-,1,-,5,3,8
-,1,4,1,2,1,-,-,-,-,1,1,16,5,21
-,1,1,-,-,-,1,-,2,1,1,-,10,6,16
-,-,1,-,1,-,2,-,1,-,2,-,11,4,15
2,1,-,1,1,-,1,-,1,-,-,1,18,7,25
-,-,2,-,-,-,2,-,-,2,2,-,8,8,16
-,1,-,-,2,-,-,-,-,-,3,1,18,7,25
1,2,-,-,-,2,4,-,1,-,2,-,16,7,23
3,-,-,2,1,2,-,1,-,1,1,1,12,13,25
3,-,2,1,2,2,-,2,1,1,5,-,32,14,46
-,1,-,-,1,-,-,-,-,-,2,-,4,6,10
-,1,2,-,1,-,3,-,1,-,1,-,15,7,22
-,-,1,1,1,1,4,-,-,1,-,-,10,6,16
1,1,-,-,-,-,2,1,-,1,3,-,16,5,21
1,-,3,1,3,5,3,1,-,-,7,-,32,13,45
1,-,1,-,-,-,2,4,1,-,-,-,11,4,15
-,1,-,-,1,-,3,-,1,-,1,-,15,3,18
1,-,1,1,2,2,-,-,2,-,1,-,13,5,18
1,1,-,-,1,-,-,-,-,1,3,-,18,6,24
1,3,2,-,3,-,1,2,2,-,5,2,27,13,40
-,-,1,1,-,1,1,-,-,-,3,-,7,3,10
1,1,-,1,1,-,2,-,1,2,2,-,10,6,16
-,-,1,1,-,-,1,-,1,-,2,-,7,5,12
-,-,-,-,-,-,1,-,3,1,1,-,12,5,17
-,-,3,2,2,-,1,1,1,-,4,-,31,8,39
1,2,4,-,2,-,1,-,1,-,3,-,22,5,27
-,-,-,-,1,-,3,1,2,-,2,1,21,4,25
1,-,2,-,-,1,-,-,2,1,2,-,23,5,28
1,-,-,-,1,-,1,-,1,1,3,2,20,8,28
-,1,-,3,2,1,3,1,3,1,2,-,25,18,43
1,-,-,-,-,-,1,-,2,-,1,-,12,-,12
-,-,2,-,1,-,-,2,-,2,2,1,11,7,18
-,-,1,-,-,-,-,1,-,-,1,-,7,3,10
1,-,1,-,1,1,-,1,-,-,1,-,15,4,19
1,-,1,-,2,1,1,1,1,1,4,-,19,4,23
2,-,-,-,-,-,-,-,2,-,2,-,14,5,19
