ВОЗРАСТ,Январь М.,Январь ж.,Февраль М.,Февраль ж.,Март М.,Март ж.,Апрель М.,Апрель ж.,Май М.,Май ж.,Июнь М.,Июнь ж.
- 67 - 68 -,1,0,0,2,1,0,1,1,0,0,0,1
- 68 - 69 -,1,0,1,1,1,2,3,0,0,0,0,0
- 69 - 70 -,0,0,2,0,0,3,0,2,0,2,0,0
- 70 - 71 -,0,2,2,1,4,2,2,0,3,2,2,0
- 71 - 72 -,0,2,3,1,0,0,0,0,1,0,0,1
- 72 - 73 -,0,0,0,3,4,0,2,0,2,1,3,1
- 73 - 74 -,0,0,0,0,0,0,1,0,1,0,1,0
- 74 - 75 -,0,0,0,1,0,1,1,0,0,0,2,0
- 75 - 76 -,1,1,0,0,1,3,6,1,0,0,1,0
- 76 - 77 -,1,0,0,0,0,0,1,1,1,0,1,0
- 77 - 78 -,1,0,1,0,0,0,2,0,0,1,0,1
- 78 - 79 -,2,0,0,0,0,0,0,0,0,0,0,1
- 79 - 80 -,3,0,2,0,0,1,2,1,1,0,0,1
- 80 - 81 -,1,0,0,2,2,0,2,0,0,0,2,1
Неизвестных лет,1,0,3,1,6,0,4,0,4,4,4,1
Итого,105,67,109,84,130,104,195,84,161,87,131,85
- 81 - 85 -,0,0,1,0,2,0,3,0,1,1,1,0
- 85 - 90 -,0,2,0,2,1,2,0,1,1,0,2,0
- 90 - 95 -,0,0,1,0,1,0,0,0,2,0,0,0
- 95 - 100 -,1,0,0,0,1,0,4,0,1,0,1,0
- 100 - 105 -,0,0,0,0,0,0,0,0,0,0,0,0
- 105 - 110 -,1,0,0,0,0,1,0,0,0,0,0,0
- 110 - 115 -,0,0,0,0,0,0,0,0,0,0,0,0
- 115 - 120 -,0,0,0,0,0,0,0,0,0,0,0,0
- 120 - 125 -,0,0,0,0,0,0,0,0,0,0,0,0
Итого,2,2,2,2,5,3,7,1,5,1,4,0
ВСЕГО,107,69,111,86,135,107,202,85,166,88,135,85
