ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.
- 67 - 68 -,3,4,6,3,7,7,2,3,3,6,5,4
- 68 - 69 -,3,-,9,4,4,4,5,2,5,1,5,2
- 69 - 70 -,6,5,6,5,8,9,10,7,9,5,11,9
- 70 - 71 -,5,10,7,7,14,9,18,9,19,10,13,8
- 71 - 72 -,3,2,2,5,4,-,1,3,4,2,3,4
- 72 - 73 -,3,3,5,7,4,2,2,1,8,4,4,6
- 73 - 74 -,4,1,1,3,3,2,7,3,3,2,4,1
- 74 - 75 -,4,8,11,3,14,6,6,3,4,5,4,4
- 75 - 76 -,2,3,2,4,6,1,11,6,6,2,8,1
- 76 - 77 -,6,-,3,4,1,2,1,2,7,2,1,1
- 77 - 78 -,2,4,1,1,5,3,8,6,3,4,2,1
- 78 - 79 -,3,5,1,3,5,3,2,-,8,1,2,2
- 79 - 80 -,6,4,6,4,4,5,7,7,5,4,4,2
- 80 - 81 -,9,7,10,9,11,4,9,10,13,10,11,8
Неизвестных лет,-,1,-,1,2,-,-,-,3,1,-,-
Итого,696,620,621,558,827,692,777,679,778,658,857,714
- 81 - 85 -,6,7,4,6,11,6,8,6,14,8,4,8
- 85 - 90 -,2,3,14,6,14,2,9,10,9,8,8,7
- 90 - 95 -,7,2,3,1,3,5,10,4,1,6,8,6
- 95 - 100 -,3,3,2,3,1,3,4,1,1,1,3,1
- 100 - 105 -,1,1,1,1,3,-,1,2,1,1,-,1
- 105 - 110 -,1,1,1,-,-,-,-,-,-,-,-,-
- 110 - 115 -,-,-,-,-,-,-,-,-,-,-,-,-
- 115 - 120 -,-,-,-,-,1,-,-,-,-,-,-,-
- 120 - 125 -,-,-,-,-,-,-,-,-,-,-,-,-
Итого,20,17,25,17,33,16,32,23,26,24,23,23
ВСЕГО,716,637,646,575,860,708,809,702,804,682,880,737
