Возраст,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.
До 1 месяца,78,57,69,50,96,60,91,77,77,59,116,85
От 1 до 3 месяцев,78,39,69,50,98,72,79,51,69,51,102,91
3 - 6,92,56,55,62,80,78,75,56,56,60,111,91
6 - 1 года,81,71,76,60,114,98,109,89,114,100,113,101
1 - 2 лет,87,60,65,39,82,75,72,69,101,70,88,71
2 - 3,25,46,25,34,28,41,34,26,28,39,24,33
3 - 4,29,20,24,15,25,20,25,21,26,21,20,22
4 - 5,18,21,12,18,24,15,20,11,17,18,14,13
5 - 6,14,17,11,17,17,12,13,16,19,15,13,10
6 - 7,5,7,1,11,13,4,9,11,15,9,5,6
7 - 8,3,5,5,6,5,5,4,8,4,7,7,2
8 - 9,6,5,5,2,6,3,1,3,4,4,3,3
9 - 10,2,6,6,3,5,4,4,10,3,2,4,4
10 - 11,5,4,3,2,4,3,6,3,3,4,6,2
11 - 12,1,2,1,3,3,2,2,5,1,5,3,3
12 - 13,3,2,2,1,7,-,5,3,1,5,4,1
13 - 14,3,2,1,2,1,3,1,3,-,3,3,-
14 - 15,1,7,1,1,3,4,-,4,3,2,3,2
15 - 16,3,1,-,1,5,1,1,3,2,2,4,-
16 - 17,2,2,3,1,1,5,2,5,-,3,2,6
17 - 18,7,7,1,4,6,2,2,2,5,3,5,3
18 - 19,1,-,2,3,2,8,5,3,4,5,2,2
19 - 20,5,3,3,2,1,3,7,5,3,7,4,4
20 - 21,1,5,2,7,1,5,4,4,5,2,-,6
21 - 22,4,7,5,3,1,1,5,6,10,3,1,3
22 - 23,3,4,5,4,2,2,8,5,1,3,3,6
23 - 24,1,2,1,3,3,8,3,5,3,3,6,6
24 - 25,-,2,4,2,1,6,5,6,4,8,6,1
25 - 26,3,3,4,4,4,1,3,2,4,2,6,3
26 - 27,3,5,3,4,5,7,4,1,5,2,4,2
27 - 28,1,2,4,2,2,3,4,2,5,2,6,5
28 - 29,2,2,-,7,2,-,2,3,1,5,2,-
