ВОЗРАСТ,Июль М.,Июль Ж.,Август М.,Август Ж.,Сентябрь М.,Сентябрь Ж.,Октябрь М.,Октябрь Ж.,Ноябрь М.,Ноябрь Ж.,Декабрь М.,Декабрь Ж.,В год М.,В год Ж.,Всего
29 - 30,6,2,2,4,1,6,3,4,1,3,2,4,39,53,92
30 - 31,3,7,3,2,3,5,3,2,6,4,1,6,43,51,94
31 - 32,3,2,1,1,-,2,2,4,4,2,2,3,26,33,59
32 - 33,5,3,5,5,4,4,-,6,-,2,6,1,37,39,76
33 - 34,-,1,5,3,2,1,2,2,4,3,4,1,28,32,60
34 - 35,2,5,5,5,4,2,4,7,1,2,2,6,40,47,87
35 - 36,2,3,3,5,2,3,2,3,3,1,-,6,41,49,90
36 - 37,1,3,3,1,1,2,2,-,2,5,4,1,30,36,66
37 - 38,-,5,2,3,3,1,2,3,6,2,5,4,50,46,96
38 - 39,4,4,2,3,7,4,4,2,6,2,4,1,52,39,91
39 - 40,6,3,1,6,6,6,7,4,1,5,8,5,62,59,121
40 - 41,7,4,7,4,7,6,2,8,6,7,8,3,86,72,158
41 - 42,2,4,1,3,2,-,2,3,3,2,2,-,27,42,69
42 - 43,8,4,2,1,2,1,7,3,5,2,4,4,53,37,90
43 - 44,2,-,2,4,4,2,5,1,2,3,-,-,37,23,60
44 - 45,2,5,5,4,3,5,7,2,-,6,5,2,52,45,97
45 - 46,8,2,8,5,7,9,10,2,4,8,16,2,100,57,157
46 - 47,2,2,3,1,1,3,6,5,2,-,5,3,42,34,76
47 - 48,3,2,1,4,2,1,6,2,2,3,6,2,54,32,86
48 - 49,4,1,3,3,8,7,2,1,5,-,6,9,60,47,107
49 - 50,3,7,6,3,4,3,4,2,5,4,8,5,71,61,132
50 - 51,7,6,5,2,8,4,10,5,8,7,10,7,94,61,155
51 - 52,3,1,4,3,3,3,3,2,4,2,8,-,40,20,60
52 - 53,6,2,2,6,2,3,3,3,4,3,10,2,57,42,99
53 - 54,3,2,5,3,4,1,4,3,3,1,6,3,43,31,74
54 - 55,9,2,9,1,4,3,5,4,7,7,9,4,72,50,122
55 - 56,7,2,7,8,3,5,4,8,9,8,8,6,91,65,156
56 - 57,5,6,11,3,5,-,6,5,5,3,7,3,70,42,112
57 - 58,3,3,3,1,6,-,9,1,7,4,7,2,76,26,102
58 - 59,7,4,6,1,-,2,4,-,3,4,6,5,69,28,97
59 - 60,4,5,3,5,3,3,7,2,6,3,6,6,83,66,149
60 - 61,2,10,12,14,18,9,9,6,12,7,8,12,133,107,240
61 - 62,5,1,2,3,2,-,6,3,5,3,4,4,63,28,91
62 - 63,3,3,7,1,4,2,3,5,6,5,9,4,61,46,107
63 - 64,7,3,6,5,2,1,4,4,5,4,3,5,53,42,95
64 - 65,8,5,7,6,5,5,8,11,8,6,7,4,93,73,166
65 - 66,11,4,8,6,7,6,8,3,4,8,10,6,104,68,172
66 - 67,5,2,4,1,1,3,3,3,4,2,5,3,53,37,90
