ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.,Июль М.,Июль Ж.,Август М.,Август Ж.,Сентябрь М.,Сентябрь Ж.,Октябрь М.,Октябрь Ж.,Ноябрь М.,Ноябрь Ж.,Декабрь М.,Декабрь Ж.,В год М.,В год Ж.,Всего
До 1 месяца,78,57,69,50,96,60,91,77,77,59,116,85,231,159,314,256,193,149,119,105,119,75,112,76,1615,1208,2823
От 1 до 3 месяцев,78,39,69,50,98,72,79,51,69,51,102,91,254,176,369,310,201,178,125,110,92,78,127,93,1663,1299,2962
- 3 - 6 -,92,56,55,62,80,78,75,56,56,60,111,91,223,202,245,185,161,154,64,66,78,69,100,78,1340,1157,2497
- 6 - 1 года,81,71,76,60,114,98,109,89,114,100,113,101,155,153,247,207,133,148,97,102,100,85,107,95,1446,1309,2755
- 1 - 2 лет,87,60,65,39,82,75,72,69,101,70,88,71,62,67,87,65,69,72,63,73,70,79,79,77,925,817,1742
- 2 - 3 -,25,46,25,34,28,41,34,26,28,39,24,33,20,22,34,33,32,40,30,26,23,36,41,35,344,411,755
- 3 - 4 -,29,20,24,15,25,20,25,21,26,21,20,22,29,20,19,16,11,17,27,27,21,22,20,19,276,240,516
- 4 - 5 -,18,21,12,18,24,15,20,11,17,18,14,13,11,10,19,8,16,21,15,15,20,18,11,18,197,186,383
- 5 - 6 -,14,17,11,17,17,12,13,16,19,15,13,10,13,11,11,19,7,8,11,9,6,14,8,14,143,162,305
- 6 - 7 -,5,7,1,11,13,4,9,11,15,9,5,6,8,6,3,4,4,6,3,7,4,6,6,8,76,85,161
- 7 - 8 -,3,5,5,6,5,5,4,8,4,7,7,2,2,5,5,6,4,7,3,6,3,7,5,3,50,67,117
- 8 - 9 -,6,5,5,2,6,3,1,3,4,4,3,3,1,3,4,1,3,5,4,5,3,8,0,3,40,45,85
- 9 - 10 -,2,6,6,3,5,4,4,10,3,2,4,4,3,3,2,3,5,5,3,5,1,2,7,1,45,48,93
- 10 - 11 -,5,4,3,2,4,3,6,3,3,4,6,2,4,1,0,1,2,4,0,2,1,1,2,3,36,30,66
- 11 - 12 -,1,2,1,3,3,2,2,5,1,5,3,3,5,2,6,3,2,2,1,1,4,2,1,1,30,31,61
- 12 - 13 -,3,2,2,1,7,0,5,3,1,5,4,1,4,0,1,3,3,1,5,4,0,2,4,2,39,24,63
- 13 - 14 -,3,2,1,2,1,3,1,3,0,3,3,0,1,2,3,0,2,2,1,4,2,1,2,2,20,24,44
- 14 - 15 -,1,7,1,1,3,4,0,4,3,2,3,2,4,5,4,1,2,3,3,2,0,5,1,2,25,38,63
- 15 - 16 -,3,1,0,1,5,1,1,3,2,2,4,0,4,2,3,1,3,1,0,1,1,2,3,1,29,16,45
- 16 - 17 -,2,2,3,1,1,5,2,5,0,3,2,6,3,3,2,1,2,1,0,3,3,4,2,1,22,35,57
- 17 - 18 -,7,7,1,4,6,2,2,2,5,3,5,3,3,1,1,1,1,1,1,1,3,1,4,4,39,30,69
- 18 - 19 -,1,0,2,3,2,8,5,3,4,5,2,2,0,0,1,3,1,3,2,1,0,1,3,2,23,31,54
- 19 - 20 -,5,3,3,2,1,3,7,5,3,7,4,4,9,5,2,5,1,2,2,2,1,3,4,4,42,45,87
- 20 - 21 -,1,5,2,7,1,5,4,4,5,2,0,6,8,3,1,2,4,2,4,9,4,0,3,4,37,49,86
- 21 - 22 -,4,7,5,3,1,1,5,6,10,3,1,3,4,5,2,1,1,2,3,4,2,0,2,5,40,40,80
- 22 - 23 -,3,4,5,4,2,2,8,5,1,3,3,6,3,4,4,2,1,5,2,2,7,1,4,7,43,45,88
- 23 - 24 -,1,2,1,3,3,8,3,5,3,3,6,6,3,5,2,4,0,4,3,5,2,3,0,2,27,50,77
- 24 - 25 -,0,2,4,2,1,6,5,6,4,8,6,1,3,7,3,2,1,2,1,3,3,1,2,2,33,42,75
- 25 - 26 -,3,3,4,4,4,1,3,2,4,2,6,3,1,2,3,1,2,1,2,1,3,4,2,2,37,26,63
- 26 - 27 -,3,5,3,4,5,7,4,1,5,2,4,2,3,3,3,2,0,3,2,2,2,3,5,7,39,41,80
- 27 - 28 -,1,2,4,2,2,3,4,2,5,2,6,5,2,2,0,2,2,4,1,2,7,6,1,5,35,37,72
- 28 - 29 -,2,2,0,7,2,0,2,3,1,5,2,0,2,5,1,2,1,2,0,6,1,6,5,4,19,42,61
- 29 - 30 -,4,2,2,4,3,5,3,6,8,6,4,7,6,2,2,4,1,6,3,4,1,3,2,4,39,53,92
- 30 - 31 -,2,2,5,4,4,4,3,8,7,2,3,5,3,7,3,2,3,5,3,2,6,4,1,6,43,51,94
- 31 - 32 -,2,4,3,4,1,3,2,3,5,3,1,2,3,2,1,1,0,2,2,4,4,2,2,3,26,33,59
- 32 - 33 -,4,2,2,0,3,2,2,3,2,6,4,5,5,3,5,5,4,4,0,6,0,2,6,1,37,39,76
- 33 - 34 -,1,3,4,5,2,5,1,3,3,3,0,2,0,1,5,3,2,1,2,2,4,3,4,1,28,32,60
- 34 - 35 -,3,4,2,3,3,6,6,3,6,2,2,2,2,5,5,5,4,2,4,7,1,2,2,6,40,47,87
- 35 - 36 -,6,4,4,5,3,8,9,2,3,5,4,4,2,3,3,5,2,3,2,3,3,1,0,6,41,49,90
- 36 - 37 -,4,5,3,3,1,1,4,7,2,5,3,3,1,3,3,1,1,2,2,0,2,5,4,1,30,36,66
- 37 - 38 -,2,5,4,2,5,4,7,10,7,4,7,3,0,5,2,3,3,1,2,3,6,2,5,4,50,46,96
- 38 - 39 -,3,4,4,6,7,3,3,3,3,4,5,3,4,4,2,3,7,4,4,2,6,2,4,1,52,39,91
- 39 - 40 -,3,5,4,3,7,6,5,4,7,4,7,8,6,3,1,6,6,6,7,4,1,5,8,5,62,59,121
- 40 - 41 -,8,9,5,4,7,6,11,8,8,7,10,6,7,4,7,4,7,6,2,8,6,7,8,3,86,72,158
- 41 - 42 -,3,2,2,5,1,5,2,4,2,5,5,9,2,4,1,3,2,0,2,3,3,2,2,0,27,42,69
- 42 - 43 -,3,2,4,2,6,4,4,2,2,7,6,5,8,4,2,1,2,1,7,3,5,2,4,4,53,37,90
- 43 - 44 -,5,3,1,1,2,2,3,3,5,1,6,3,2,0,2,4,4,2,5,1,2,3,0,0,37,23,60
- 44 - 45 -,3,4,4,3,6,5,5,1,7,4,5,4,2,5,5,4,3,5,7,2,0,6,5,2,52,45,97
- 45 - 46 -,10,8,11,5,5,4,2,3,12,5,7,4,8,2,8,5,7,9,10,2,4,8,16,2,100,57,157
- 46 - 47 -,3,2,1,0,7,4,3,4,5,6,4,4,2,2,3,1,1,3,6,5,2,0,5,3,42,34,76
- 47 - 48 -,2,2,3,0,8,5,11,6,4,1,6,4,3,2,1,4,2,1,6,2,2,3,6,2,54,32,86
- 48 - 49 -,5,5,2,6,5,3,5,7,8,3,7,2,4,1,3,3,8,7,2,1,5,0,6,9,60,47,107
- 49 - 50 -,4,5,10,4,3,8,11,6,7,9,6,5,3,7,6,3,4,3,4,2,5,4,8,5,71,61,132
- 50 - 51 -,6,4,7,3,6,10,12,6,6,4,9,3,7,6,5,2,8,4,10,5,8,7,10,7,94,61,155
- 51 - 52 -,1,1,1,2,3,1,1,2,3,2,6,1,3,1,4,3,3,3,3,2,4,2,8,0,40,20,60
