"ВОЗРАСТ ВСТУПИВШИХ В БРАК",,,,,,,,,,,,,
21-25,,26-30,,31-35,,36-40,,41-45,,46-50,,51 и выше,
М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.
26,20,29,8,4,,5,1,2,,2,1,2,
18,24,20,7,10,2,5,4,4,1,,,3,2
,,1,,,,,,,,,,,
9,9,11,2,7,2,2,1,1,1,1,,1,
15,16,14,1,5,4,,,2,,,,2,1
10,8,9,7,3,,1,2,2,,,,1,
18,12,11,2,3,1,2,1,1,1,,,1,
10,11,9,2,,2,1,,3,,,,,,
20,18,19,4,3,2,3,1,,,2,1,1,
21,15,14,4,6,4,4,1,,,1,,1,
30,17,20,5,4,2,3,,3,1,1,,1,
,,,,1,,,,,,,,,,
177,151,157,42,46,19,26,11,18,4,7,2,13,3
