Возраст вступивших в брак,21-25,21-25,26-30,26-30,31-35,31-35,36-40,36-40,41-45,41-45,46-50,46-50,51 и выше,51 и выше
Месяцы,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.,М. П.,Ж. П.
Январь,527,346,248,63,60,16,34,16,19,9,12,7,9,2
Февраль,406,241,171,64,51,19,34,11,13,7,8,3,11,5
Март,3,5,4,3,2,—,2,1,—,—,1,—,—,—
Апрель,57,51,41,13,11,8,13,4,3,1,5,1,2,—
Май,67,55,38,16,13,6,10,4,9,4,7,3,5,1
Июнь,90,64,51,10,11,6,7,3,5,3,3,4,4,—
Июль,72,45,42,21,19,6,22,5,5,3,2,—,6,3
Август,12,13,8,4,5,1,1,1,3,3,4,3,2,—
Сентябрь,21,13,15,12,5,—,6,2,5,2,—,1,2,2
Октябрь,126,72,78,24,19,7,11,5,12,2,4,3,1,1
Ноябрь,229,140,109,28,30,5,20,6,11,1,2,1,4,1
Декабрь,4,4,1,—,—,—,—,—,—,—,—,—,—,—
Итого,1614,1049,806,258,226,74,160,58,85,35,48,26,46,15
